Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_PCT,2P_PCT,3P_PCT,FT_PCT,eFG_PCT,FG_PER_36,FGA_PER_36,2P_PER_36,2PA_PER_36,3P_PER_36,3PA_PER_36,FT_PER_36,FTA_PER_36,ORB_PER_36,DRB_PER_36,TRB_PER_36,AST_PER_36,STL_PER_36,BLK_PER_36,TOV_PER_36,PF_PER_36,PTS_PER_36,TS_PCT,3PAr,FTr
Andre Emmett,22,MEM,NBA,2004-05,8,0,28,2,6,2,6,0,0,3,5,0,2,2,0,0,0,1,4,7,0.333333333,0.333333333,0,0.6,0.333333333,2.571428571,7.714285714,2.571428571,7.714285714,0,0,3.857142857,6.428571429,0,2.571428571,2.571428571,0,0,0,1.285714286,5.142857143,9,42.68292683,0,0.833333333
Andre Iguodala,21,PHI,NBA,2004-05,82,82,2686,269,546,222,404,47,142,156,210,89,375,464,246,138,48,139,204,741,0.492673993,0.54950495,0.330985915,0.742857143,0.535714286,3.605361132,7.317944899,2.975428146,5.414743112,0.629932986,1.903201787,2.0908414,2.814594192,1.192851824,5.026061057,6.218912882,3.297096054,1.849590469,0.643335815,1.862993299,2.734177215,9.931496649,58.03571429,0.26007326,0.384615385
Andre Owens,25,UTA,NBA,2005-06,23,2,210,27,74,24,58,3,16,12,18,11,10,21,8,5,0,13,25,69,0.364864865,0.413793103,0.1875,0.666666667,0.385135135,4.628571429,12.68571429,4.114285714,9.942857143,0.514285714,2.742857143,2.057142857,3.085714286,1.885714286,1.714285714,3.6,1.371428571,0.857142857,0,2.228571429,4.285714286,11.82857143,42.11425781,0.216216216,0.243243243
Andre Roberson,22,OKC,NBA,2013-14,40,16,399,33,68,31,55,2,13,7,10,36,58,94,15,19,10,19,74,75,0.485294118,0.563636364,0.153846154,0.7,0.5,2.977443609,6.135338346,2.796992481,4.962406015,0.180451128,1.172932331,0.631578947,0.902255639,3.248120301,5.233082707,8.481203008,1.353383459,1.714285714,0.902255639,1.714285714,6.676691729,6.766917293,51.79558011,0.191176471,0.147058824
Andrew Bogut,21,MIL,NBA,2005-06,82,77,2348,323,606,323,603,0,3,122,194,189,384,573,192,49,68,125,259,768,0.5330033,0.535655058,0,0.628865979,0.5330033,4.95229983,9.291311755,4.95229983,9.245315162,0,0.045996593,1.870528109,2.974446337,2.897785349,5.887563884,8.785349233,2.943781942,0.751277683,1.042589438,1.916524702,3.971039182,11.77512777,55.54269845,0.004950495,0.320132013
Andrew Goudelock,23,LAL,NBA,2011-12,40,0,419,68,174,40,99,28,75,11,12,5,26,31,20,4,0,21,32,175,0.390804598,0.404040404,0.373333333,0.916666667,0.471264368,5.8424821,14.94988067,3.436754177,8.505966587,2.405727924,6.443914081,0.945107399,1.031026253,0.429594272,2.233890215,2.663484487,1.718377088,0.343675418,0,1.804295943,2.749403341,15.03579952,48.80633646,0.431034483,0.068965517
Andrew Harrison,22,MEM,NBA,2016-17,72,18,1474,117,360,74,204,43,156,148,194,23,113,136,198,54,20,85,194,425,0.325,0.362745098,0.275641026,0.762886598,0.384722222,2.857530529,8.792401628,1.807327001,4.982360923,1.050203528,3.810040706,3.614654003,4.738127544,0.561736771,2.759837178,3.321573948,4.835820896,1.318860244,0.488466757,2.075983718,4.738127544,10.37991859,47.71420873,0.433333333,0.538888889
Andrew Nicholson,23,ORL,NBA,2012-13,75,28,1249,256,486,256,486,0,0,75,94,69,189,258,44,24,32,79,133,587,0.526748971,0.526748971,0,0.79787234,0.526748971,7.378702962,14.00800641,7.378702962,14.00800641,0,0,2.161729384,2.709367494,1.988791033,5.447558046,7.436349079,1.268214572,0.691753403,0.92233787,2.277021617,3.833466773,16.91913531,55.65458131,0,0.193415638
Andrew Wiggins,19,MIN,NBA,2014-15,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,0.437115215,0.453016815,0.30952381,0.759656652,0.454265611,6.026271472,13.78646009,5.553384978,12.25867295,0.472886494,1.527787134,4.292354328,5.650387336,1.624789491,2.910070731,4.534860222,2.061300101,1.042775345,0.606264736,2.146177164,2.303805995,16.81778377,51.67506185,0.110817942,0.409850484
Andy Rautins,24,NYK,NBA,2010-11,5,0,24,3,7,2,3,1,4,1,2,0,1,1,3,1,0,7,0,8,0.428571429,0.666666667,0.25,0.5,0.5,4.5,10.5,3,4.5,1.5,6,1.5,3,0,1.5,1.5,4.5,1.5,0,10.5,0,12,50.76142132,0.571428571,0.285714286
