Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,FTr,3PAr
Bobby Portis,20,CHI,NBA,2015-16,62,4,1102,186,436,170,384,16,52,48,66,123,214,337,52,25,22,54,100,436,0.426605504587,0.442708333333,0.307692307692,0.727272727273,0.44495412844,6.07622504537,14.2431941924,5.55353901996,12.5444646098,0.522686025408,1.69872958258,1.56805807623,2.15607985481,4.01814882033,6.99092558984,11.0090744102,1.69872958258,0.816696914701,0.718693284936,1.76406533575,3.2667876588,14.2431941924,46.8776879408,0.151376146789,0.119266055046
Bradley Beal,19,WAS,NBA,2012-13,56,46,1745,282,687,191,451,91,236,125,159,43,168,211,137,50,29,90,113,780,0.410480349345,0.423503325942,0.385593220339,0.786163522013,0.476710334789,5.81776504298,14.1730659026,3.94040114613,9.30429799427,1.87736389685,4.86876790831,2.5787965616,3.28022922636,0.887106017192,3.4659025788,4.35300859599,2.82636103152,1.03151862464,0.598280802292,1.85673352436,2.33123209169,16.0916905444,51.5218769816,0.231441048035,0.343522561863
Branden Dawson,22,LAC,NBA,2015-16,6,0,29,2,5,2,5,0,0,1,1,2,2,4,0,0,1,0,2,5,0.4,0.4,0.0,1.0,0.4,2.48275862069,6.20689655172,2.48275862069,6.20689655172,0.0,0.0,1.24137931034,1.24137931034,2.48275862069,2.48275862069,4.96551724138,0.0,0.0,1.24137931034,0.0,2.48275862069,6.20689655172,45.9558823529,0.2,0.0
Brandon Davies,22,PHI,NBA,2013-14,51,0,575,54,128,52,118,2,10,34,53,38,71,109,28,24,8,35,92,144,0.421875,0.440677966102,0.2,0.641509433962,0.4296875,3.38086956522,8.01391304348,3.25565217391,7.38782608696,0.125217391304,0.626086956522,2.12869565217,3.31826086957,2.37913043478,4.4452173913,6.82434782609,1.75304347826,1.50260869565,0.500869565217,2.19130434783,5.76,9.01565217391,47.5812846947,0.4140625,0.078125
Brandon Ingram,19,LAL,NBA,2016-17,79,40,2279,276,686,221,499,55,187,133,214,60,257,317,166,50,36,116,158,740,0.402332361516,0.442885771543,0.294117647059,0.621495327103,0.442419825073,4.35980693287,10.8363317244,3.49100482668,7.88240456341,0.868802106187,2.95392716104,2.10092145678,3.38043001316,0.94778411584,4.05967529618,5.00745941202,2.62220272049,0.789820096534,0.568670469504,1.83238262396,2.49583150505,11.6893374287,47.426168991,0.31195335277,0.272594752187
Brandon Knight,20,DET,NBA,2011-12,66,60,2129,319,769,214,493,105,276,104,137,33,178,211,251,49,10,171,154,847,0.414824447334,0.434077079108,0.380434782609,0.759124087591,0.483094928479,5.39408172851,13.0032879286,3.61860028182,8.33630812588,1.77548144669,4.66697980272,1.75857209958,2.31658055425,0.558008454674,3.00986378581,3.56787224049,4.24424612494,0.828558008455,0.169093471113,2.89149835604,2.60403945514,14.3222170033,51.0683966815,0.178153446034,0.358907672302
Briante Weber,23,TOT,NBA,2015-16,7,4,169,14,39,14,34,0,5,3,4,8,17,25,21,9,3,9,12,31,0.358974358974,0.411764705882,0.0,0.75,0.358974358974,2.98224852071,8.30769230769,2.98224852071,7.2426035503,0.0,1.0650887574,0.639053254438,0.852071005917,1.70414201183,3.62130177515,5.32544378698,4.47337278107,1.91715976331,0.639053254438,1.91715976331,2.55621301775,6.60355029586,38.0274779195,0.102564102564,0.128205128205
Brice Johnson,22,LAC,NBA,2016-17,3,0,9,2,7,2,7,0,0,0,0,1,2,3,1,2,1,1,0,4,0.285714285714,0.285714285714,0.0,0.0,0.285714285714,8.0,28.0,8.0,28.0,0.0,0.0,0.0,0.0,4.0,8.0,12.0,4.0,8.0,4.0,4.0,0.0,16.0,28.5714285714,0.0,0.0
Bryce Cotton,22,UTA,NBA,2014-15,15,0,159,29,69,22,49,7,20,15,18,3,15,18,15,4,0,12,6,80,0.420289855072,0.448979591837,0.35,0.833333333333,0.471014492754,6.56603773585,15.6226415094,4.98113207547,11.0943396226,1.58490566038,4.52830188679,3.39622641509,4.07547169811,0.679245283019,3.39622641509,4.07547169811,3.39622641509,0.905660377358,0.0,2.71698113208,1.35849056604,18.1132075472,52.0020800832,0.260869565217,0.289855072464
Bryce Dejean-Jones,23,NOP,NBA,2015-16,14,11,279,28,69,16,37,12,32,11,21,8,40,48,15,10,2,11,17,79,0.405797101449,0.432432432432,0.375,0.52380952381,0.492753623188,3.61290322581,8.90322580645,2.06451612903,4.77419354839,1.54838709677,4.12903225806,1.41935483871,2.70967741935,1.03225806452,5.16129032258,6.1935483871,1.93548387097,1.29032258065,0.258064516129,1.41935483871,2.1935483871,10.1935483871,50.4856850716,0.304347826087,0.463768115942
Bryn Forbes,23,SAS,NBA,2016-17,36,0,285,36,99,19,46,17,53,5,6,2,21,23,23,1,0,11,20,94,0.363636363636,0.413043478261,0.320754716981,0.833333333333,0.449494949495,4.54736842105,12.5052631579,2.4,5.81052631579,2.14736842105,6.69473684211,0.631578947368,0.757894736842,0.252631578947,2.65263157895,2.90526315789,2.90526315789,0.126315789474,0.0,1.38947368421,2.52631578947,11.8736842105,46.2416371507,0.0606060606061,0.535353535354
Buddy Hield,23,TOT,NBA,2016-17,82,55,1888,327,768,179,389,148,379,64,76,35,234,269,121,38,9,101,115,866,0.42578125,0.460154241645,0.390501319261,0.842105263158,0.522135416667,6.23516949153,14.6440677966,3.41313559322,7.41737288136,2.82203389831,7.22669491525,1.22033898305,1.44915254237,0.667372881356,4.46186440678,5.12923728814,2.30720338983,0.724576271186,0.171610169492,1.92584745763,2.19279661017,16.5127118644,54.0277500499,0.0989583333333,0.493489583333
C.J. McCollum,22,POR,NBA,2013-14,38,0,476,74,178,44,98,30,80,23,34,7,41,48,27,14,2,35,53,201,0.415730337079,0.448979591837,0.375,0.676470588235,0.5,5.59663865546,13.4621848739,3.32773109244,7.41176470588,2.26890756303,6.05042016807,1.73949579832,2.57142857143,0.529411764706,3.10084033613,3.63025210084,2.04201680672,1.05882352941,0.151260504202,2.64705882353,4.00840336134,15.2016806723,52.0833333333,0.191011235955,0.449438202247
C.J. Wilcox,24,LAC,NBA,2014-15,21,0,101,16,38,9,19,7,19,2,2,1,6,7,8,3,1,10,7,41,0.421052631579,0.473684210526,0.368421052632,1.0,0.513157894737,5.70297029703,13.5445544554,3.20792079208,6.77227722772,2.49504950495,6.77227722772,0.712871287129,0.712871287129,0.356435643564,2.13861386139,2.49504950495,2.85148514851,1.06930693069,0.356435643564,3.56435643564,2.49504950495,14.6138613861,52.7263374486,0.0526315789474,0.5
Cameron Bairstow,24,CHI,NBA,2014-15,18,1,64,3,14,3,14,0,0,4,5,6,2,8,1,2,1,3,8,10,0.214285714286,0.214285714286,0.0,0.8,0.214285714286,1.6875,7.875,1.6875,7.875,0.0,0.0,2.25,2.8125,3.375,1.125,4.5,0.5625,1.125,0.5625,1.6875,4.5,5.625,30.8641975309,0.357142857143,0.0
Cameron Payne,21,OKC,NBA,2015-16,57,1,698,114,278,78,167,36,111,19,24,9,76,85,108,36,6,44,80,283,0.410071942446,0.467065868263,0.324324324324,0.791666666667,0.474820143885,5.87965616046,14.3381088825,4.0229226361,8.61318051576,1.85673352436,5.72492836676,0.97994269341,1.23782234957,0.464183381089,3.91977077364,4.38395415473,5.57020057307,1.85673352436,0.309455587393,2.26934097421,4.12607449857,14.5959885387,49.0365955087,0.0863309352518,0.39928057554
Caris LeVert,22,BRK,NBA,2016-17,57,26,1237,171,380,112,196,59,184,67,93,23,165,188,110,49,8,59,91,468,0.45,0.571428571429,0.320652173913,0.720430107527,0.527631578947,4.97655618432,11.0590137429,3.25949878739,5.70412287793,1.71705739693,5.354890865,1.94987873888,2.70654810024,0.669361358124,4.80194017785,5.47130153597,3.2012934519,1.42603071948,0.232821341956,1.71705739693,2.64834276475,13.6200485044,55.5925116412,0.244736842105,0.484210526316
Carrick Felix,23,CLE,NBA,2013-14,7,0,38,7,14,5,9,2,5,3,4,1,5,6,4,0,0,4,4,19,0.5,0.555555555556,0.4,0.75,0.571428571429,6.63157894737,13.2631578947,4.73684210526,8.52631578947,1.89473684211,4.73684210526,2.84210526316,3.78947368421,0.947368421053,4.73684210526,5.68421052632,3.78947368421,0.0,0.0,3.78947368421,3.78947368421,18.0,60.2791878173,0.285714285714,0.357142857143
Casper Ware,24,PHI,NBA,2013-14,9,0,116,18,42,11,21,7,21,5,6,0,9,9,10,8,0,5,11,48,0.428571428571,0.52380952381,0.333333333333,0.833333333333,0.511904761905,5.58620689655,13.0344827586,3.41379310345,6.51724137931,2.1724137931,6.51724137931,1.55172413793,1.86206896552,0.0,2.79310344828,2.79310344828,3.10344827586,2.48275862069,0.0,1.55172413793,3.41379310345,14.8965517241,53.7634408602,0.142857142857,0.5
Chandler Parsons,23,HOU,NBA,2011-12,63,57,1804,248,549,188,371,60,178,43,78,90,210,300,134,73,29,81,142,599,0.451730418944,0.506738544474,0.337078651685,0.551282051282,0.506375227687,4.94900221729,10.955654102,3.75166297118,7.40354767184,1.19733924612,3.55210643016,0.858093126386,1.55654101996,1.79600886918,4.19068736142,5.9866962306,2.67405764967,1.45676274945,0.578713968958,1.61640798226,2.83370288248,11.9534368071,51.3440307207,0.142076502732,0.324225865209
Charles Jenkins,22,GSW,NBA,2011-12,51,28,893,130,291,127,271,3,20,34,39,8,60,68,170,33,6,60,85,297,0.446735395189,0.468634686347,0.15,0.871794871795,0.451890034364,5.24076147816,11.7312430011,5.11982082867,10.9249720045,0.120940649496,0.806270996641,1.37066069429,1.57222844345,0.322508398656,2.41881298992,2.74132138858,6.85330347144,1.33034714446,0.241881298992,2.41881298992,3.42665173572,11.9731243001,48.1892523364,0.134020618557,0.0687285223368
