Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36
Andre Drummond,19,DET,NBA,2012-13,60,10,1243,208,342,207,340,1,2,59,159,169,288,457,30,59,95,57,144,476,0.608187135,0.608823529,0.5,0.371069182,0.609649123,5.84488107549,10.8707342296,5.84488107549,10.7962771458,0.0,0.0744570837642,0.967942088935,3.27611168563,4.24405377456,5.32368148914,9.5677352637,0.558428128232,1.0423991727,3.42502585315,1.93588417787,2.79214064116,12.6577042399
Andre Emmett,22,MEM,NBA,2004-05,8,0,28,2,6,2,6,0,0,3,5,0,2,2,0,0,0,1,4,7,0.333333333,0.333333333,0.0,0.6,0.333333333,7.66956521739,15.347826087,7.2,13.8434782609,0.469565217391,1.50434782609,3.80869565217,5.41739130435,0.0,0.0,6.65217391304,1.74782608696,1.42608695652,0.373913043478,0.0,0.0,19.6173913043
Andre Iguodala,21,PHI,NBA,2004-05,82,82,2686,269,546,222,404,47,142,156,210,89,375,464,246,138,48,139,204,741,0.492673993,0.54950495,0.330985915,0.742857143,0.535714286,4.68274111675,11.0329949239,3.95177664975,8.36040609137,0.730964467005,2.67258883249,3.47208121827,4.70558375635,0.0,0.0,9.34263959391,4.8654822335,2.17005076142,0.662436548223,0.0,0.0,13.5685279188
Andre Owens,25,UTA,NBA,2005-06,23,2,210,27,74,24,58,3,16,12,18,11,10,21,8,5,0,13,25,69,0.364864865,0.413793103,0.1875,0.666666667,0.385135135,5.26928510879,13.6920033908,2.74653857022,6.2763492512,2.52274653857,7.41565413959,2.67533201469,3.63153433173,0.0,0.0,4.94376942639,2.62447018932,1.23085617406,0.172930206273,0.0,0.0,15.7366487708
Andre Roberson,22,OKC,NBA,2013-14,40,16,399,33,68,31,55,2,13,7,10,36,58,94,15,19,10,19,74,75,0.485294118,0.563636364,0.153846154,0.7,0.5,4.6303030303,8.98181818182,4.02424242424,7.24848484848,0.606060606061,1.73333333333,2.4,4.12121212121,3.74545454545,8.92121212121,12.6666666667,1.44242424242,1.98787878788,1.81818181818,2.21818181818,3.32121212121,12.2666666667
Andrew Bogut,21,MIL,NBA,2005-06,82,77,2348,323,606,323,603,0,3,122,194,189,384,573,192,49,68,125,259,768,0.5330033,0.535655058,0.0,0.628865979,0.5330033,7.26145552561,12.0323450135,7.05121293801,11.4501347709,0.210242587601,0.582210242588,3.47708894879,5.1590296496,0.0,0.0,12.1778975741,2.50673854447,0.77628032345,1.7628032345,0.0,0.0,18.2102425876
Andrew Goudelock,23,LAL,NBA,2011-12,40,0,419,68,174,40,99,28,75,11,12,5,26,31,20,4,0,21,32,175,0.390804598,0.404040404,0.373333333,0.916666667,0.471264368,8.14012738854,17.9570063694,4.87261146497,9.8025477707,3.26751592357,8.15445859873,2.45063694268,2.98089171975,0.716560509554,3.45382165605,4.17038216561,4.12738853503,1.01751592357,0.286624203822,2.67993630573,1.77707006369,21.9984076433
Andrew Harrison,22,MEM,NBA,2016-17,72,18,1474,117,360,74,204,43,156,148,194,23,113,136,198,54,20,85,194,425,0.325,0.362745098,0.275641026,0.762886598,0.384722222,3.53471915082,9.5055285272,2.43609022556,6.51216275984,1.09862892525,2.99336576736,4.53781512605,5.84343210969,0.716497125166,2.67492260062,3.39141972579,4.74480318443,0.971251658558,0.270676691729,2.7545333923,3.0092879257,12.7058823529
Andrew Nicholson,23,ORL,NBA,2012-13,75,28,1249,256,486,256,486,0,0,75,94,69,189,258,44,24,32,79,133,587,0.526748971,0.526748971,0.0,0.79787234,0.526748971,8.08087731323,14.2001370802,7.72309801234,13.2625085675,0.357779300891,0.93762851268,4.78684030158,6.44002741604,2.55380397533,6.16860863605,8.72241261138,0.986977381768,0.542837559973,2.01096641535,2.88690884167,3.35572309801,21.3063742289
Andrew Wiggins,19,MIN,NBA,2014-15,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,0.437115215,0.453016815,0.30952381,0.759656652,0.454265611,5.92682926829,13.2334494774,4.57839721254,9.28222996516,1.34843205575,3.9512195122,5.51916376307,7.11846689895,2.38327526132,4.04529616725,6.42857142857,1.69337979094,1.28571428571,1.06620209059,2.50871080139,2.94773519164,18.7212543554
