Player,Age,Tm,Lg,Season,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,eFG%
Devin Booker,19,PHO,NBA,2015-16,76,51,2108,367,867,268,578,99,289,215,256,27,160,187,200,44,20,160,225,1048,0.423298731257,0.463667820069,0.342560553633,0.83984375,0.480392156863
Devin Ebanks,21,LAL,NBA,2010-11,20,0,118,21,51,19,46,2,5,18,23,15,12,27,2,4,5,6,7,62,0.411764705882,0.413043478261,0.4,0.782608695652,0.43137254902
Dewayne Dedmon,24,TOT,NBA,2013-14,31,6,390,38,83,38,83,0,0,21,32,38,89,127,5,7,22,18,66,97,0.457831325301,0.457831325301,0.0,0.65625,0.457831325301
Dexter Pittman,22,MIA,NBA,2010-11,2,0,11,1,3,1,3,0,0,0,0,1,2,3,0,0,0,2,2,2,0.333333333333,0.333333333333,0.0,0.0,0.333333333333
Deyonta Davis,20,MEM,NBA,2016-17,36,0,238,24,47,24,47,0,0,10,18,20,40,60,2,3,17,8,40,58,0.510638297872,0.510638297872,0.0,0.555555555556,0.510638297872
Diamond Stone,19,LAC,NBA,2016-17,7,0,24,3,13,3,13,0,0,4,4,1,5,6,0,0,1,2,5,10,0.230769230769,0.230769230769,0.0,1.0,0.230769230769
Diante Garrett,24,PHO,NBA,2012-13,19,0,149,16,49,13,34,3,15,5,10,5,10,15,31,10,0,16,5,40,0.326530612245,0.382352941176,0.2,0.5,0.357142857143
Dion Waiters,21,CLE,NBA,2012-13,61,48,1756,336,815,273,612,63,203,159,213,22,127,149,183,59,16,121,113,894,0.41226993865,0.446078431373,0.310344827586,0.746478873239,0.450920245399
Domantas Sabonis,20,OKC,NBA,2016-17,81,66,1632,192,481,141,322,51,159,44,67,45,242,287,82,39,32,83,200,479,0.399168399168,0.437888198758,0.320754716981,0.65671641791,0.452182952183
Dominique Jones,22,DAL,NBA,2010-11,18,0,135,14,45,14,41,0,4,14,17,6,19,25,19,5,3,10,7,42,0.311111111111,0.341463414634,0.0,0.823529411765,0.311111111111
Donald Sloan,24,TOT,NBA,2011-12,33,11,669,79,198,77,173,2,25,23,30,18,49,67,105,13,3,49,37,183,0.39898989899,0.445086705202,0.08,0.766666666667,0.40404040404
Dorian Finney-Smith,23,DAL,NBA,2016-17,81,35,1642,124,333,68,142,56,191,46,61,55,166,221,67,52,25,45,125,350,0.372372372372,0.478873239437,0.293193717277,0.754098360656,0.456456456456
Doron Lamb,21,TOT,NBA,2012-13,47,0,577,60,163,46,126,14,37,20,34,8,38,46,32,13,0,26,52,154,0.368098159509,0.365079365079,0.378378378378,0.588235294118,0.411042944785
Doug McDermott,23,CHI,NBA,2014-15,36,0,321,43,107,30,66,13,41,10,15,6,37,43,6,4,1,17,29,109,0.401869158879,0.454545454545,0.317073170732,0.666666666667,0.46261682243
Draymond Green,22,GSW,NBA,2012-13,79,1,1061,84,257,70,190,14,67,45,55,58,202,260,53,42,25,51,159,227,0.326848249027,0.368421052632,0.208955223881,0.818181818182,0.354085603113
Drew Gordon,24,PHI,NBA,2014-15,9,0,71,8,19,8,16,0,3,1,2,7,11,18,2,1,0,8,7,17,0.421052631579,0.5,0.0,0.5,0.421052631579
Duje Dukan,24,SAC,NBA,2015-16,1,0,24,2,10,0,5,2,5,0,0,2,2,4,1,1,0,0,2,6,0.2,0.0,0.4,0.0,0.3
Dwight Buycks,24,TOR,NBA,2013-14,14,0,146,15,48,10,31,5,17,8,9,4,19,23,10,8,0,10,11,43,0.3125,0.322580645161,0.294117647059,0.888888888889,0.364583333333
Dwight Powell,23,TOT,NBA,2014-15,29,0,236,31,67,28,56,3,11,25,33,18,32,50,9,9,6,11,40,90,0.462686567164,0.5,0.272727272727,0.757575757576,0.485074626866
E'Twaun Moore,22,BOS,NBA,2011-12,38,0,331,43,113,26,68,17,45,7,7,4,29,33,34,11,3,21,33,110,0.380530973451,0.382352941176,0.377777777778,1.0,0.455752212389
Ed Davis,21,TOR,NBA,2010-11,65,17,1602,215,373,215,373,0,0,71,128,168,294,462,40,39,67,48,183,501,0.576407506702,0.576407506702,0.0,0.5546875,0.576407506702
