Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,eFG%,TS%,3PAr,FTr
Kevinn Pinkney,65,1825,267,505,262,483,5,22,167,231,0,0,434,67,59,58,0,0,706,0,4,5.2,9.1,0,0,0,0,0,0,0,0,0,0,0,0,5.852054795,11.06849315,5.742465753,10.58630137,0.109589041,0.482191781,3.660273973,5.063013699,0,0,9.512328767,1.468493151,1.293150685,1.271232877,0,0,15.4739726,0.533663366,58.18937096,0.043564356,0.457425743
Kevon Looney,36,1113,151,321,129,268,22,53,92,147,122,209,331,51,46,32,45,104,416,428,2.8,2,4.8,21.9,12.2,21,16.6,9.1,2.5,3.3,10.3,19.7,4.2,4,8.2,5.426774483,11.53638814,4.636118598,9.631626235,0.790655885,1.904761905,3.306379155,5.283018868,4.384546271,7.511230907,11.89577718,1.832884097,1.653189578,1.150044924,1.617250674,3.737646002,14.95058401,0.504672897,53.93071977,0.165109034,0.457943925
Keyon Dooling,59,1659,223,543,156,345,67,198,203,277,0,0,142,198,76,29,134,103,716,0,2.9,3.1,6,0,0,0,0,0,0,0,16.6,0,0,0,0,5.376732972,13.09222423,3.761301989,8.318264014,1.615430983,4.773960217,4.894514768,6.678722122,0,0,3.423749247,4.773960217,1.832429174,0.699216395,3.230861965,2.483423749,17.26341169,0.472375691,53.84430273,0.364640884,0.510128913
Khalid El-Amin,71,2149,369,897,255,569,114,328,205,246,0,0,211,323,118,5,188,155,1057,0,3.9,4.6,8.5,0,0,0,0,0,0,0,15.6,0,0,0,0,6.868310842,16.69613774,4.746393671,10.59097255,2.121917171,6.105165193,3.815728246,4.578873895,0,0,3.927408097,6.012098651,2.196370405,0.093066543,3.499302001,2.88506282,19.6742671,0.474916388,52.57450957,0.365663322,0.274247492
Khris Middleton,87,2263,340,789,248,502,92,287,209,272,131,265,396,175,87,17,173,187,981,956,4.8,4,8.8,18.862616,6.765709236,14.34012373,10.50508175,17.15351304,2.355148034,1.008307556,15.63875387,24.479673,2.480335837,1.423994697,3.904330535,6.009721608,13.94608926,4.383561644,8.873177198,1.626159965,5.072912064,3.694211224,4.807777287,2.315510384,4.684047724,6.999558109,3.093239063,1.537781706,0.30048608,3.05788776,3.305346885,17.33981441,0.489226869,53.97939869,0.363751584,0.344740177
Kim English,103,2862,433,1015,235,519,198,496,259,356,75,293,368,162,132,24,197,199,1323,1186,6,4.1,10.1,17.39385045,2.946680643,12.03050314,7.460936408,10.77078966,2.707127883,0.912403913,14.60307477,24.17176799,2.509468903,0.737421384,3.287945493,6.051712089,14.185884,3.284416492,7.253668763,2.767295597,6.932215234,3.619846261,4.975541579,1.048218029,4.095038435,5.143256464,2.264150943,1.844863732,0.335429769,2.753319357,2.781271838,18.49056604,0.524137931,56.45932198,0.488669951,0.350738916
Kirk Haston,96,2572,544,1150,518,1079,26,71,292,407,0,0,748,111,80,104,195,255,1406,0,4.5,7,11.5,0,0,0,0,0,0,0,12.7,0,0,0,0,8.460342146,17.88491446,8.055987558,16.7807154,0.404354588,1.104199067,4.541213064,6.32970451,0,0,11.63297045,1.726283048,1.244167963,1.617418351,3.032659409,3.965785381,21.86625194,0.484347826,52.893731,0.06173913,0.353913043
Kirk Hinrich,141,4188,615,1247,380,701,235,546,288,371,0,0,532,668,206,57,380,382,1753,0,11.5,8.5,20,0,0,0,0,0,0,0,21.1,0,0,0,0,5.873925501,11.91021968,3.629417383,6.695319962,2.244508118,5.214899713,2.750716332,3.543457498,0,0,5.081184336,6.380133715,1.967526266,0.544412607,3.629417383,3.64851958,16.74307545,0.587409783,62.15254141,0.437850842,0.297514034
Kirk Penney,127,3416,503,1158,286,597,217,561,231,308,0,0,484,214,70,14,0,0,1454,0,7.7,4.7,12.4,0,0,0,0,0,0,0,0,0,0,0,0,5.889929742,13.55971897,3.348946136,6.990632319,2.540983607,6.569086651,2.704918033,3.606557377,0,0,5.667447307,2.505854801,0.819672131,0.163934426,0,0,17.02576112,0.52806563,56.2032284,0.484455959,0.26597582
Kirk Snyder,84,2586,477,1120,371,778,106,342,344,508,0,0,537,224,76,63,0,0,1404,0,3.9,6,9.9,0,0,0,0,0,0,0,0,0,0,0,0,7.378190255,17.32405259,5.738592421,12.03402939,1.639597834,5.290023202,5.32095901,7.857695282,0,0,8.306264501,3.464810518,1.175560712,0.974477958,0,0,21.71693736,0.473214286,52.25080386,0.305357143,0.453571429
