Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Jacob Pullen,Kansas State,2011,SR,136.75,17.76,154.51
Dustin Hogue,Iowa State,2014,JR,92.28,62.19,154.47
Bryant Crawford,Wake Forest,2017,SO,133.5,20.68,154.18
Semi Ojeleye,Southern Methodist,2017,JR,150.34,3.81,154.15
Yogi Ferrell,Indiana,2016,SR,140.47,13.66,154.13
Corey Walden,Eastern Kentucky,2015,SR,130.21,23.84,154.05
Aaron Harrison,Kentucky,2014,FR,120.31,33.42,153.73
Daniel Ochefu,Villanova,2016,SR,45.64,108.09,153.73
Roy Devyn Marble,Iowa,2014,SR,122.94,30.74,153.68
Damion Lee,Louisville,2016,SR,103.94,49.42,153.36
Stefan Moody,Mississippi,2016,SR,176.54,-23.28,153.26
Dwayne Evans,Saint Louis,2013,JR,72.32,80.93,153.25
Matt Costello,Michigan State,2016,SR,66.6,86.58,153.18
Brandon Ingram,Duke,2016,FR,89.51,63.65,153.16
Deshaun Thomas,Ohio State,2013,JR,146.68,6.47,153.15
Mo Alie-Cox,Virginia Commonwealth,2015,SO,42.35,110.77,153.12
William Buford,Ohio State,2011,JR,97.61,55.51,153.12
Bryn Forbes,Michigan State,2016,SR,151.34,1.65,152.99
Luke Hancock,Louisville,2013,JR,105.06,47.9,152.96
Jaron Blossomgame,Clemson,2016,JR,107.76,45.19,152.95
Wesley Saunders,Harvard,2015,SR,98.58,54.22,152.8
Scott Wood,North Carolina State,2013,SR,156.98,-4.19,152.79
Terrence Jones,Kentucky,2011,FR,48.86,103.84,152.7
Daniel Hamilton,Connecticut,2016,SO,44.69,108,152.69
Marcus Georges-Hunt,Georgia Tech,2016,SR,126.89,25.75,152.64
Jaylen Adams,St. Bonaventure,2017,JR,154.6,-1.98,152.62
Alec Burks,Colorado,2011,SO,154.61,-2.12,152.49
Isaiah Whitehead,Seton Hall,2016,SO,90.71,61.76,152.47
Jonathan Holton,West Virginia,2016,SR,83.16,69.3,152.46
Rodney McGruder,Kansas State,2012,JR,118.57,33.88,152.45
Tu Holloway,Xavier,2012,SR,132.74,19.58,152.32
Dane Pineau,Saint Mary's (CA),2016,JR,74.82,77.49,152.31
Briante Weber,Virginia Commonwealth,2013,SO,48.99,103.27,152.26
Devin Robinson,Florida,2017,JR,73.62,78.64,152.26
Jordan Sibert,Dayton,2015,SR,120.12,32.03,152.15
Erving Walker,Florida,2011,JR,133.78,18.24,152.02
JaMychal Green,Alabama,2011,JR,46.4,105.6,152
Joe Harris,Virginia,2013,JR,121.58,30.4,151.98
Tekele Cotton,Wichita State,2014,JR,81.32,70.47,151.79
Julius Randle,Kentucky,2014,FR,88.54,63.24,151.78
Solomon Hill,Arizona,2012,JR,83.47,68.29,151.76
Shamorie Ponds,St. John's (NY),2017,FR,135.23,16.39,151.62
Markis McDuffie,Wichita State,2017,SO,74.97,76.56,151.53
Luke Kornet,Vanderbilt,2017,SR,59.1,92.35,151.45
Tim Abromaitis,Notre Dame,2011,SR,124.22,27.17,151.39
Robbie Hummel,Purdue,2012,SR,112.02,39.21,151.23
Vince Edwards,Purdue,2016,SO,86.83,64.32,151.15
Ayron Hardy,Jacksonville,2011,SR,74.61,76.52,151.13
Otto Porter,Georgetown,2012,FR,69.1,81.96,151.06
Stefan Moody,Mississippi,2015,JR,135.76,15.27,151.03
Kris Jenkins,Villanova,2016,JR,105.65,45.28,150.93
Scottie Wilbekin,Florida,2013,JR,79.02,71.84,150.86
Jacobi Boykins,Louisiana Tech,2017,JR,112.96,37.65,150.61
Alex Hamilton,Louisiana Tech,2016,SR,118.72,31.8,150.52
Thomas Walkup,Stephen F. Austin,2015,JR,117.79,32.72,150.51
Ray McCallum,Detroit Mercy,2013,JR,139.75,10.75,150.5
Matthew Dellavedova,Saint Mary's (CA),2013,SR,146.16,4.18,150.34
Demetri McCamey,Illinois,2011,SR,127.18,23.12,150.3
Chris Udofia,Denver,2013,JR,55.54,94.56,150.1
J.J. Avila,Colorado State,2015,SR,91.69,58.35,150.04
Pierce Hornung,Colorado State,2012,JR,94.93,55.08,150.01
Joe Ragland,Wichita State,2012,SR,133.32,16.67,149.99
Harrison Barnes,North Carolina,2011,FR,99.23,50.63,149.86
Isaiah Austin,Baylor,2014,SO,22.92,126.94,149.86
Branden Dawson,Michigan State,2014,JR,72.9,76.95,149.85
Chris Flemmings,North Carolina-Wilmington,2016,JR,114.64,35.13,149.77
Scottie Wilbekin,Florida,2014,SR,92.45,57.32,149.77
Malcolm Hill,Illinois,2016,JR,98.39,51.34,149.73
Dillon Brooks,Oregon,2016,SO,115.77,33.93,149.7
Will Cummings,Temple,2015,SR,96.35,53.3,149.65
Gary Clark,Cincinnati,2015,FR,52.81,96.82,149.63
Ryan Broekhoff,Valparaiso,2013,SR,108.52,40.92,149.44
Lamar Patterson,Pittsburgh,2013,JR,89.34,60.03,149.37
Javon McCrea,Buffalo,2013,JR,67.88,81.46,149.34
Jake Layman,Maryland,2016,SR,79.76,69.36,149.12
Chane Behanan,Louisville,2013,SO,57.88,91.21,149.09
Colt Ryan,Evansville,2013,SR,147.11,1.89,149
P.J. Thompson,Purdue,2017,JR,96.39,52.58,148.97
Chris Johnson,Dayton,2011,JR,110.78,38.14,148.92
Jalen Brunson,Villanova,2017,SO,126.71,22.04,148.75
Brandon Paul,Illinois,2013,SR,112,36.69,148.69
Doron Lamb,Kentucky,2012,SO,152.86,-4.25,148.61
Kenny Boynton,Florida,2013,SR,101.57,47.03,148.6
Rayvonte Rice,Illinois,2015,JR,102.68,45.9,148.58
Rawle Alkins,Arizona,2017,FR,78.51,69.79,148.3
Malcolm Armstead,Wichita State,2013,SR,81.49,66.67,148.16
Kennedy Meeks,North Carolina,2015,SO,69.44,78.69,148.13
Lance Jeter,Nebraska,2011,SR,85.33,62.79,148.12
Andrew Harrison,Kentucky,2015,SO,80.61,67.45,148.06
Miles Bridges,Michigan State,2017,FR,73.25,74.77,148.02
Dorian Finney-Smith,Florida,2015,JR,83.49,64.52,148.01
Malcolm Brogdon,Virginia,2015,JR,83.15,64.86,148.01
Josh Gasser,Wisconsin,2012,SO,70.22,77.62,147.84
Tyler Lydon,Syracuse,2016,FR,52.54,95.24,147.78
Markelle Fultz,Washington,2017,FR,125,22.73,147.73
Perry Ellis,Kansas,2014,SO,97.87,49.79,147.66
Bill Clark,Duquesne,2011,SR,120.25,27.33,147.58
Ivan Rabb,University of California,2016,FR,66.32,81.24,147.56
Marshall Henderson,Mississippi,2013,JR,174.55,-27.01,147.54
Royce O'Neale,Baylor,2014,JR,90.9,56.6,147.5
Josh Slater,Lipscomb,2011,SR,99.41,47.99,147.4
DeAndre Liggins,Kentucky,2011,JR,59.31,87.94,147.25
Murphy Holloway,Mississippi,2013,SR,68.41,78.77,147.18
Khadeem Lattin,Oklahoma,2016,SO,21.02,126.14,147.16
Kyle Dranginis,Gonzaga,2016,SR,79.74,67.34,147.08
Johnathan Williams,Gonzaga,2017,JR,52.4,94.66,147.06
Caris LeVert,Michigan,2014,SO,94.61,52.34,146.95
R.J. Hunter,Georgia State,2014,SO,137.46,9.42,146.88
Wade Baldwin,Vanderbilt,2016,SO,91.53,55.26,146.79
Jeffrey Carroll,Oklahoma State,2017,JR,148.51,-1.75,146.76
Vladimir Brodziansky,Texas Christian,2017,JR,81.34,65.39,146.73
Isaiah Hicks,North Carolina,2017,SR,72.53,74.18,146.71
Gabe York,Arizona,2016,SR,104.42,42.17,146.59
E.J. Singler,Oregon,2011,SO,86.69,59.86,146.55
Josh Huestis,Stanford,2013,JR,45.67,100.86,146.53
Kevin Pangos,Gonzaga,2014,JR,112.47,33.95,146.42
Keaton Nankivil,Wisconsin,2011,SR,97.51,48.76,146.27
Aaron Harrison,Kentucky,2015,SO,86.42,59.83,146.25
Dion Waiters,Syracuse,2012,SO,110.41,35.81,146.22
Dennis Smith Jr.,North Carolina State,2017,FR,126.15,20.02,146.17
Jordan Hulls,Indiana,2012,JR,136.83,9.25,146.08
C.J. Wilcox,Washington,2014,SR,142.06,3.95,146.01
Isaiah Canaan,Murray State,2012,JR,151.68,-5.69,145.99
Niels Giffey,Connecticut,2014,SR,95.65,50.34,145.99
Tyler Ennis,Syracuse,2014,FR,102.33,43.59,145.92
Andre Roberson,Colorado,2011,FR,72.14,73.65,145.79
Tacko Fall,Central Florida,2017,SO,23.51,122.25,145.76
Mike Moser,Nevada-Las Vegas,2012,SO,39.36,106.27,145.63
Bernard James,Florida State,2012,SR,30.83,114.77,145.6
Ismael Sanogo,Seton Hall,2016,SO,22.9,122.7,145.6
Juwan Staten,West Virginia,2014,JR,113,32.6,145.6
Peyton Aldridge,Davidson,2017,JR,112.76,32.8,145.56
Shannon Scott,Ohio State,2014,JR,44.3,101.25,145.55
Ryan Arcidiacono,Villanova,2016,SR,90.58,54.72,145.3
Jevon Carter,West Virginia,2016,SO,71.78,73.49,145.27
Buddy Hield,Oklahoma,2014,SO,129.49,15.7,145.19
Tyler Honeycutt,UCLA,2011,SO,39.76,105.36,145.12
Jordan Fouse,Green Bay,2015,JR,30.06,114.92,144.98
Charles Cooke,Dayton,2016,JR,67.15,77.75,144.9
D.J. Kennedy,St. John's (NY),2011,SR,66.99,77.9,144.89
Brice Johnson,North Carolina,2015,JR,72.37,72.37,144.74
Matt Gatens,Iowa,2012,SR,161.47,-16.78,144.69
Ryan Spangler,Oklahoma,2014,SO,73.23,71.44,144.67
Bobby Portis,Arkansas,2014,FR,56.79,87.77,144.56
Jack Cooley,Notre Dame,2013,SR,97.44,47.04,144.48
David Walker,Northeastern,2016,SR,148.78,-4.38,144.4
Markus Kennedy,Southern Methodist,2014,SO,38.8,105.54,144.34
Ryan Kelly,Duke,2011,SO,56.11,88.18,144.29
Kenny Boynton,Florida,2012,JR,169.94,-25.69,144.25
Wayne Selden,Kansas,2016,JR,100.97,43.27,144.24
John Konchar,IPFW,2016,FR,93.28,50.88,144.16
Rayvonte Rice,Illinois,2014,JR,85.01,59.14,144.15
Ryan Watkins,Boise State,2014,SR,95.48,48.61,144.09
Jarrey Foster,Southern Methodist,2017,SO,84.82,59.22,144.04
Andrew White III,Syracuse,2017,SR,137.54,6.45,143.99
James Robinson,Pittsburgh,2014,SO,72.88,71.06,143.94
Langston Galloway,Saint Joseph's,2012,SO,150.05,-6.25,143.8
Tyler Davis,Texas A&M,2016,SR,63.89,79.86,143.75
Langston Galloway,Saint Joseph's,2014,SR,145.81,-2.08,143.73
Darius Miller,Kentucky,2012,SR,117.02,26.6,143.62
Chris Evans,Kent State,2013,SR,92.36,51.09,143.45
James Ennis,Long Beach State,2013,SR,105.56,37.7,143.26
Josh Richardson,Tennessee,2015,SR,106.49,36.72,143.21
Kendall Williams,New Mexico,2011,FR,104.65,38.56,143.21
Jordan McLaughlin,Southern California,2016,SO,104.78,38.29,143.07
R.J. Hunter,Georgia State,2015,JR,115.29,27.76,143.05
Toddrick Gotcher,Texas Tech,2016,SR,118.1,24.86,142.96
C.J. Aiken,Saint Joseph's,2012,SO,49.46,93.43,142.89
Shaquille Harrison,Tulsa,2015,JR,47.63,95.26,142.89
Steve Vasturia,Notre Dame,2015,SO,120.42,22.45,142.87
Lorenzo Brown,North Carolina State,2012,SO,85.68,57.12,142.8
Anthony Bennett,Nevada-Las Vegas,2013,FR,88.99,53.73,142.72
Damyean Dotson,Houston,2017,SR,133.66,9.03,142.69
Cameron Bairstow,New Mexico,2014,SR,93.2,49.45,142.65
Darius Morris,Michigan,2011,SO,104,38.52,142.52
Jordan Woodard,Oklahoma,2016,JR,94.82,47.41,142.23
Amida Brimah,Connecticut,2015,SO,33.7,108.41,142.11
Shaq Goodwin,Memphis,2014,SO,40.85,101.23,142.08
Kyle Kuric,Louisville,2011,JR,109.41,32.66,142.07
Chris Obekpa,St. John's (NY),2013,FR,-35.88,177.91,142.03
Nate Wolters,South Dakota State,2012,JR,127.19,14.6,141.79
Jack Cooley,Notre Dame,2012,JR,82.94,58.81,141.75
Travon Woodall,Pittsburgh,2013,SR,113.65,28.04,141.69
Kendall Williams,New Mexico,2013,JR,112.46,29.09,141.55
Mason Plumlee,Duke,2012,JR,50.55,90.99,141.54
Chase Fieler,Florida Gulf Coast,2013,JR,82.71,58.82,141.53
Luke Kornet,Vanderbilt,2016,JR,24.89,116.59,141.48
Sam Dekker,Wisconsin,2014,SO,91.85,49.6,141.45
Scott Wood,North Carolina State,2012,JR,135.3,6.15,141.45
De'Anthony Melton,Southern California,2017,FR,51.1,90.28,141.38
Demontez Stitt,Clemson,2011,SR,88.13,53.24,141.37
C.J. Fair,Syracuse,2013,JR,61.26,80.1,141.36
Khris Middleton,Texas A&M,2011,SO,93.15,48.18,141.33
Emmett Naar,Saint Mary's (CA),2016,SO,116.81,24.49,141.3
Branden Dawson,Michigan State,2013,SO,33.33,107.92,141.25
Ben Moore,Southern Methodist,2016,JR,68.43,72.8,141.23
Grant Williams,Tennessee,2017,FR,58.2,82.94,141.14
Andre Hollins,Minnesota,2013,SO,127.68,13.44,141.12
James Ennis,Long Beach State,2012,JR,76.5,64.6,141.1
Ben Bentil,Providence,2016,SO,100.16,40.88,141.04
Billy White,San Diego State,2011,SR,65.81,75.22,141.03
Wesley Iwundu,Kansas State,2017,SR,77.94,63.09,141.03
John Shurna,Northwestern,2011,JR,115.96,24.98,140.94
Chaz Williams,Massachusetts,2012,SO,111.24,29.66,140.9
J.P. Tokoto,North Carolina,2014,SO,45.76,95.04,140.8
Jake Odum,Indiana State,2013,JR,93.86,46.93,140.79
Kris Joseph,Syracuse,2011,JR,82.59,58.19,140.78
Isaiah Briscoe,Kentucky,2017,SO,63.14,77.39,140.53
William Mosley,Northwestern State,2011,JR,-10.4,150.86,140.46
Dairese Gary,New Mexico,2011,SR,121.21,19.24,140.45
Adreian Payne,Michigan State,2013,JR,58.89,81.54,140.43
Halil Kanacevic,Saint Joseph's,2014,SR,44.33,96.04,140.37
Paris Lee,Illinois State,2017,SR,94.16,46.19,140.35
Jahenns Manigat,Creighton,2014,SR,100.71,39.62,140.33
Trevon Bluiett,Xavier,2017,JR,118.69,21.58,140.27
Larry Anderson,Long Beach State,2012,SR,89.23,50.99,140.22
Andrew Nicholson,St. Bonaventure,2012,SR,91.83,48.33,140.16
Kevin Parrom,Arizona,2013,SR,100.47,39.62,140.09
Chris Chiozza,Florida,2017,JR,70.04,70.04,140.08
T.J. Bray,Princeton,2014,SR,130.82,9.23,140.05
Lamar Patterson,Pittsburgh,2012,SO,99.53,40.49,140.02
Ethan Wragge,Creighton,2014,SR,132.13,7.87,140
Perry Ellis,Kansas,2016,SR,95.78,44.21,139.99
Tarik Phillip,West Virginia,2017,SR,61.13,78.83,139.96
Duane Notice,South Carolina,2017,SR,74.22,65.74,139.96
Laurence Bowers,Missouri,2011,JR,55.02,84.89,139.91
Cameron Long,George Mason,2011,SR,104.38,35.42,139.8
Justin Jackson,North Carolina,2015,FR,96.2,43.56,139.76
C.J. Wilcox,Washington,2013,JR,105.3,34.43,139.73
Brady Heslip,Baylor,2014,SR,162.15,-22.43,139.72
Preston Medlin,Utah State,2012,SO,160.82,-21.16,139.66
Romero Osby,Oklahoma,2013,SR,101.99,37.66,139.65
D'Vauntes Smith-Rivera,Georgetown,2016,SR,122.84,16.66,139.5
Brandon Davies,Brigham Young,2013,SR,63.03,76.4,139.43
Joseph Young,Oregon,2015,SR,155.64,-16.26,139.38
Matt Stainbrook,Xavier,2014,JR,60.1,79.23,139.33
Gilbert Brown,Pittsburgh,2011,SR,99.07,40.25,139.32
Anas Mahmoud,Louisville,2017,JR,22.88,116.38,139.26
Roosevelt Jones,Butler,2016,SR,65.84,73.36,139.2
Jordan Bachynski,Arizona State,2014,SR,-3.66,142.82,139.16
Cory Jefferson,Baylor,2013,JR,81.27,57.79,139.06
Luke Sikma,Portland,2011,SR,74.48,64.55,139.03
Jimmy Hall,Kent State,2017,SR,72.61,66.38,138.99
Alex Len,Maryland,2013,SO,46.9,92.06,138.96
Alec Peters,Valparaiso,2016,JR,117.55,21.37,138.92
Colton Iverson,Colorado State,2013,SR,93.17,45.74,138.91
Meyers Leonard,Illinois,2012,SO,47.38,91.37,138.75
Cameron Oliver,Nevada,2017,SO,37.6,100.94,138.54
Kevin Young,Kansas,2013,SR,57.72,80.81,138.53
Ron Curry,James Madison,2016,SR,112.96,25.51,138.47
Rodney Hood,Duke,2014,SO,126.92,11.54,138.46
Phil Forte,Oklahoma State,2017,SR,140.32,-1.87,138.45
Roy Devyn Marble,Iowa,2013,JR,103.3,35.08,138.38
Keith Clanton,Central Florida,2011,SO,60.01,78.35,138.36
Marvelle Harris,Fresno State,2016,SR,102.06,36.29,138.35
Allen Crabbe,University of California,2012,SO,97.4,40.91,138.31
Jaysean Paige,West Virginia,2016,SR,92.66,45.64,138.3
Steven Adams,Pittsburgh,2013,FR,35.16,103.14,138.3
Zack Novak,Michigan,2012,SR,98.73,39.49,138.22
Deonte Burton,Nevada,2014,SR,142.44,-4.25,138.19
Terry Tarpey,William & Mary,2015,JR,74.03,64.16,138.19
Trevor Cooney,Syracuse,2014,SO,115.94,22.17,138.11
Daniel Miller,Georgia Tech,2013,JR,18.01,120.08,138.09
Kyle Weems,Missouri State,2011,JR,103.56,34.52,138.08
Chace Stanback,Nevada-Las Vegas,2011,JR,81.49,56.54,138.03
Derrick Walton,Michigan,2016,JR,71.59,66.35,137.94
DeAndre Bembry,Saint Joseph's,2015,SO,75.96,61.97,137.93
Yante Maten,Georgia,2017,JR,79.23,58.69,137.92
Przemek Karnowski,Gonzaga,2017,SR,43.29,94.59,137.88
J.J. O'Brien,San Diego State,2015,SR,52.16,85.7,137.86
Dererk Pardon,Northwestern,2017,SO,38.75,99.03,137.78
Kevin Parrom,Arizona,2011,SO,93.93,43.66,137.59
Zach Collins,Gonzaga,2017,FR,47.85,89.72,137.57
Justin Jackson,North Carolina,2016,SO,92.27,45.27,137.54
Ramon Galloway,La Salle,2013,SR,102.66,34.87,137.53
Dean Wade,Kansas State,2017,SO,84.47,53,137.47
Sam Thompson,Ohio State,2015,SR,54.21,83.25,137.46
Javon McCrea,Buffalo,2011,FR,64.31,73.14,137.45
Isaiah Zierden,Creighton,2016,JR,94.02,43.39,137.41
Gary Harris,Michigan State,2013,FR,105.86,31.43,137.29
Kevin Pangos,Gonzaga,2012,FR,121.24,16.05,137.29
Chris Singleton,Florida State,2011,JR,37.57,99.71,137.28
Hugh Greenwood,New Mexico,2013,SO,49.62,87.66,137.28
Kwamain Mitchell,Saint Louis,2012,JR,100.75,36.48,137.23
TaShawn Thomas,Oklahoma,2015,SR,32.47,104.63,137.1
Chris Crawford,Memphis,2012,SO,62.46,74.61,137.07
Jon Leuer,Wisconsin,2011,SR,105.27,31.75,137.02
Rahlir Jefferson,Temple,2012,JR,66.61,70.41,137.02
Brandon Knight,Kentucky,2011,FR,125.33,11.61,136.94
Preston Knowles,Louisville,2011,SR,86.4,50.4,136.8
Rob Loe,Saint Louis,2014,SR,46.12,90.59,136.71
Brandon Triche,Syracuse,2013,SR,102.51,34.17,136.68
Zach Smith,Texas Tech,2016,SO,40.27,96.31,136.58
Andrew Chrabascz,Butler,2017,SR,80.45,56.13,136.58
Keith Appling,Michigan State,2013,JR,73.19,63.3,136.49
Octavius Ellis,Cincinnati,2015,JR,34.82,101.44,136.26
Maurice Kemp,East Carolina,2013,SR,99.41,36.74,136.15
LaDontae Henton,Providence,2014,JR,91.47,44.62,136.09
Mark Tollefsen,Arizona,2016,SR,84.86,51.19,136.05
Dexter Strickland,North Carolina,2011,SO,52.16,83.84,136
Jakob Poeltl,Utah,2015,FR,44.49,91.51,136
Markel Brown,Oklahoma State,2013,JR,78.84,57.16,136
Anthony Hickey,Oklahoma State,2015,SR,82.21,53.75,135.96
Quinn Cook,Duke,2014,JR,123.75,12.2,135.95
Nic Moore,Southern Methodist,2014,SO,129.94,6,135.94
Akil Mitchell,Virginia,2013,JR,63.76,72.15,135.91
Myles Davis,Xavier,2016,JR,97.5,38.3,135.8
Kris Joseph,Syracuse,2012,SR,91.86,43.93,135.79
Richaun Holmes,Bowling Green State,2015,SR,52.49,83.11,135.6
Kevarrius Hayes,Florida,2017,SO,37.06,98.45,135.51
James Siakam,Vanderbilt,2015,SR,81.24,54.16,135.4
London Perrantes,Virginia,2017,SR,89.12,46.21,135.33
Mo Alie-Cox,Virginia Commonwealth,2017,SR,27.04,108.15,135.19
Corey Fisher,Villanova,2011,SR,120.13,15.02,135.15
Shannon Scott,Ohio State,2013,SO,56.1,79.05,135.15
Giddy Potts,Middle Tennessee,2017,JR,105.87,29.21,135.08
Rodney McGruder,Kansas State,2011,SO,93.08,41.98,135.06
Fuquan Edwin,Seton Hall,2013,JR,74.63,60.42,135.05
Steve Vasturia,Notre Dame,2017,SR,94.89,40.06,134.95
Dwight Powell,Stanford,2013,JR,55.74,79.11,134.85
Mike Tisdale,Illinois,2011,SR,51.48,83.27,134.75
Hassan Martin,Rhode Island,2015,SO,12.98,121.73,134.71
Michael Gbinije,Syracuse,2015,JR,75.43,59.27,134.7
Rodney McGruder,Kansas State,2013,SR,104.34,30.35,134.69
Michael Carrera,South Carolina,2016,SR,72.71,61.88,134.59
Nigel Hayes,Wisconsin,2017,SR,65.34,69.19,134.53
Colt Ryan,Evansville,2012,JR,138.58,-4.08,134.5
Ken Horton,Central Connecticut State,2012,SR,98.27,36.2,134.47
Tyshawn Taylor,Kansas,2012,SR,112.05,22.41,134.46
Bryce Alford,UCLA,2017,SR,158.67,-24.24,134.43
Ian Clark,Belmont,2013,SR,128.64,5.76,134.4
Chase Tapley,San Diego State,2013,SR,94.71,39.61,134.32
Gabe York,Arizona,2015,JR,89,45.23,134.23
Mike Hart,Gonzaga,2013,SR,78.96,55.27,134.23
Kamar Baldwin,Butler,2017,FR,49.32,84.76,134.08
Amile Jefferson,Duke,2015,JR,67.73,66.32,134.05
Elias Harris,Gonzaga,2013,SR,70.74,62.88,133.62
Zack Novak,Michigan,2011,JR,73.49,59.95,133.44
Jerrelle Benimon,Towson,2014,SR,80.88,52.46,133.34
Khalif Wyatt,Temple,2013,SR,145.04,-11.76,133.28
Seth Tuttle,Northern Iowa,2013,SO,65.79,67.32,133.11
Amile Jefferson,Duke,2014,SO,75.87,57.23,133.1
Trevor Releford,Alabama,2012,SO,76.23,56.77,133
Justin Anderson,Virginia,2015,JR,82.84,50.14,132.98
James Young,Kentucky,2014,FR,115.23,17.73,132.96
Chris Babb,Iowa State,2013,SR,95.8,37.15,132.95
Fab Melo,Syracuse,2012,SO,26.84,106.07,132.91
Jacob Wiley,Eastern Washington,2017,SR,71.4,61.49,132.89
Alex Oriakhi,Missouri,2013,SR,74.16,58.71,132.87
Kyle O'Quinn,Norfolk State,2012,SR,49.58,83.29,132.87
Josh Huestis,Stanford,2014,SR,30.49,102.37,132.86
Andre Young,Clemson,2011,JR,105.17,27.68,132.85
Landen Lucas,Kansas,2017,SR,55.99,76.79,132.78
Christian Watford,Indiana,2013,SR,87.35,45.42,132.77
Dillon Brooks,Oregon,2017,JR,100.72,32.05,132.77
Juvonte Reddic,Virginia Commonwealth,2013,JR,76.11,56.64,132.75
Terrence Ross,Washington,2012,SO,89.1,43.56,132.66
Troy Caupain,Cincinnati,2017,SR,64.4,68.19,132.59
Jason Clark,Georgetown,2012,SR,84.77,47.68,132.45
Jared Berggren,Wisconsin,2012,JR,39.13,93.31,132.44
Michael Snaer,Florida State,2012,JR,93.2,39.14,132.34
Steven Gray,Gonzaga,2011,SR,90.67,41.56,132.23
Grant Gibbs,Creighton,2013,SR,84.41,47.71,132.12
Dylan Ennis,Oregon,2017,SR,61.79,70.31,132.1
Jamie Skeen,Virginia Commonwealth,2011,SR,102.66,29.33,131.99
Terance Mann,Florida State,2017,SO,76.32,55.65,131.97
Devon Collier,Oregon State,2012,SO,98.07,33.88,131.95
Mike Moser,Oregon,2014,SR,70.36,61.57,131.93
Sean Kilpatrick,Cincinnati,2013,JR,108.19,23.6,131.79
Josh Perkins,Gonzaga,2017,SO,60.94,70.77,131.71
Chris Johnson,Dayton,2012,SR,114.03,17.67,131.7
Dez Wells,Maryland,2013,SO,65.84,65.84,131.68
Nnanna Egwu,Illinois,2015,SR,14.81,116.8,131.61
Dylan Ennis,Villanova,2015,JR,73.49,58.11,131.6
Tyler Ulis,Kentucky,2015,FR,77.38,54.02,131.4
Drew Hanlen,Belmont,2012,SR,125.58,5.8,131.38
Marcus Paige,North Carolina,2016,SR,88.11,43.25,131.36
Alex Caruso,Texas A&M,2015,JR,55.3,76.03,131.33
Phil Pressey,Missouri,2012,SO,95.1,36.14,131.24
Robert Williams,Texas A&M,2017,FR,34.78,96.31,131.09
Melvin Ejim,Iowa State,2013,JR,76.87,54.16,131.03
Wayne Blackshear,Louisville,2015,SR,73.98,56.91,130.89
Sterling Brown,Southern Methodist,2016,JR,85.37,45.44,130.81
Yogi Ferrell,Indiana,2015,JR,161.4,-30.65,130.75
Durand Scott,Miami (FL),2013,SR,76.55,54.14,130.69
Joshua Braun,Grand Canyon,2016,SO,120.49,10.18,130.67
Scott Bamforth,Weber State,2013,SR,128.71,1.92,130.63
Corey Stokes,Villanova,2011,SR,115.87,14.69,130.56
Mikal Bridges,Villanova,2016,FR,54.1,76.44,130.54
Taurean Prince,Baylor,2016,SR,81.78,48.72,130.5
Angelo Caloiaro,San Francisco,2012,SR,126.75,3.73,130.48
Dwight Powell,Stanford,2014,SR,40.14,90.32,130.46
Lorenzo Bonam,Utah,2017,SR,91.95,38.45,130.4
Lance Goulbourne,Vanderbilt,2012,SR,38.94,91.42,130.36
Isaiah Wilkins,Virginia,2016,SO,40.1,90.23,130.33
Rakeem Christmas,Syracuse,2014,JR,31.33,98.99,130.32
Robert Gray Jr.,Houston,2017,JR,123.62,6.59,130.21
Shaquielle McKissic,Arizona State,2014,JR,70.86,59.33,130.19
Ryan Kelly,Duke,2013,SR,74.88,55.3,130.18
Bernard James,Florida State,2011,JR,11.48,118.67,130.15
Terrell Bell,Virginia Tech,2011,SR,39.04,91.09,130.13
Jaylen Adams,St. Bonaventure,2016,SO,135.94,-5.83,130.11
Jordan Fouse,Green Bay,2014,SO,8.56,121.55,130.11
Isaiah Cousins,Oklahoma,2016,SR,65.04,65.04,130.08
J.J. Frazier,Georgia,2015,SO,91.49,38.52,130.01
Okaro White,Florida State,2014,SR,77.87,51.91,129.78
Coty Clarke,Arkansas,2014,SR,56.4,73.32,129.72
Josh Scott,Colorado,2015,JR,79.17,50.51,129.68
Shaquielle McKissic,Arizona State,2015,SR,76.69,52.95,129.64
Jonathan Holmes,Texas,2014,JR,82.74,46.89,129.63
Tyler Wideman,Butler,2016,SO,39.99,89.64,129.63
T.J. Warren,North Carolina State,2013,FR,114.61,14.95,129.56
Michael Bryson,UC-Santa Barbara,2016,SR,102.89,26.61,129.5
Scott Thomas,Bowling Green State,2012,SR,69.31,60.19,129.5
C.J. Williams,North Carolina State,2012,SR,97.61,31.87,129.48
Denzel Valentine,Michigan State,2014,SO,53.28,76.12,129.4
Isaiah Cousins,Oklahoma,2015,JR,56.25,73.13,129.38
Noah Hartsock,Brigham Young,2012,SR,64.65,64.65,129.3
Jon Octeus,Purdue,2015,JR,74.48,54.62,129.1
Rion Brown,Miami (FL),2014,SR,118.46,10.61,129.07
Angel Rodriguez,Miami (FL),2016,SR,91.94,37.1,129.04
A.J. English,Iona,2016,SR,130.82,-1.79,129.03
Phil Forte,Oklahoma State,2014,SO,139.59,-10.6,128.99
