Player,Tm,Season,Class,Offensive Points Added,Defensive Points Saved,TPA
Josh Hart,Villanova,2016,JR,111.42,65,176.42
Marshall Plumlee,Duke,2016,SR,81.93,94.39,176.32
Aaron Craft,Ohio State,2011,FR,80.87,95.24,176.11
Trevor Lacey,North Carolina State,2015,JR,148.67,27.22,175.89
Zak Showalter,Wisconsin,2017,SR,91.37,84.34,175.71
JaJuan Johnson,Purdue,2011,SR,75.55,100.06,175.61
Isaiah Wilkins,Virginia,2017,JR,46.19,129.33,175.52
D.J. Stephens,Memphis,2013,SR,50.33,125.05,175.38
Jared Sullinger,Ohio State,2011,FR,107.63,67.27,174.9
Josh Gasser,Wisconsin,2014,JR,117.25,57.6,174.85
Kawhi Leonard,San Diego State,2011,SO,74.84,99.79,174.63
Rakeem Christmas,Syracuse,2015,SR,61.85,112.78,174.63
Reggie Jackson,Boston College,2011,JR,170.55,3.79,174.34
De'Aaron Fox,Kentucky,2017,FR,100.93,73.22,174.15
Derrick Marks,Boise State,2015,SR,127.35,46.75,174.1
Tyler Kalinoski,Davidson,2015,SR,156.87,17.22,174.09
Isaiah Thomas,Washington,2011,JR,148.9,24.82,173.72
KeVaughn Allen,Florida,2017,SO,117.55,56.06,173.61
D.J. Wilson,Michigan,2017,JR,94.1,79.34,173.44
Darrun Hilliard,Villanova,2015,SR,113.83,59.47,173.3
Bobby Portis,Arkansas,2015,SO,112.81,60.3,173.11
Georges Niang,Iowa State,2016,SR,139.9,33.03,172.93
Andre Roberson,Colorado,2013,JR,37.04,135.83,172.87
Travis Trice,Michigan State,2015,SR,154.7,17.94,172.64
Seth Curry,Duke,2013,SR,164.72,7.84,172.56
Cameron Payne,Murray State,2015,SO,166.5,5.81,172.31
Jamaal Franklin,San Diego State,2013,JR,78.89,93.24,172.13
P.J. Hairston,North Carolina,2013,SO,148.57,23.54,172.11
Sheldon McClellan,Miami (FL),2016,SR,134.75,37.23,171.98
Derwin Kitchen,Florida State,2011,SR,88.7,83.16,171.86
Branden Dawson,Michigan State,2015,SR,39.75,131.91,171.66
Kyle Anderson,UCLA,2013,FR,50.9,120.64,171.54
Kendall Williams,New Mexico,2014,SR,150.96,20.4,171.36
John Henson,North Carolina,2011,SO,1.84,169.46,171.3
Travis Leslie,Georgia,2011,JR,111.6,59.4,171
Justin Patton,Creighton,2017,FR,70.97,100,170.97
Iman Shumpert,Georgia Tech,2011,JR,110.94,59.87,170.81
Ben Brust,Wisconsin,2014,SR,140.91,29.89,170.8
Billy Baron,Canisius,2014,SR,215.85,-45.07,170.78
Bryce Cotton,Providence,2014,SR,204.09,-33.61,170.48
J.P. Tokoto,North Carolina,2015,JR,65.34,104.94,170.28
Andrew Wiggins,Kansas,2014,FR,109.4,60.78,170.18
Vince Edwards,Purdue,2017,JR,107.01,63.15,170.16
Joel Embiid,Kansas,2014,FR,53.67,116.48,170.15
