Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
J. Holiday | J. Noah | K. Porzingis | D. Rose | S. Vujacic,NYK,2016-17,1,0.0,0,0,0.0,0,0,.000,0,0,.000,.000,+1,+2,.000,+1
J. Brown | J. Crowder | J. Mickey | K. Olynyk | T. Rozier,BOS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Exum | D. Favors | G. Hill | J. Johnson | S. Mack,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Anderson | T. Ariza | C. Brewer | C. Capela | S. Dekker,HOU,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Allen | M. Conley | J. Ennis | J. Green | A. Harrison,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Brussino | D. Finney-Smith | D. Nowitzki | D. Powell | J. Uthoff,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Booker | S. Dinwiddie | J. Hamilton | R. Hollis-Jefferson | S. Kilpatrick,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Bertans | D. Green | K. Leonard | P. Mills | T. Parker,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Ellis | G. Niang | K. Seraphin | J. Teague | M. Turner,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Green | S. Ibaka | D. Rudez | N. Vucevic | C. Watson,ORL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Bradley | J. Brown | J. Jerebko | M. Smart | I. Thomas,BOS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Babbitt | W. Ellington | U. Haslem | J. Johnson | T. Johnson,MIA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Butler | I. Canaan | C. Felicio | J. Grant | N. Mirotic,CHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Frazier | L. Galloway | S. Hill | J. Holiday | T. Jones,NOP,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
W. Cauley-Stein | D. Collison | T. Evans | S. Labissiere | B. McLemore,SAC,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Bembry | M. Delaney | T. Hardaway | P. Millsap | D. Schroder,ATL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Anderson | J. Anthony | K. Leonard | P. Mills | J. Simmons,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. McConnell | N. Noel | J. Okafor | D. Saric | N. Stauskas,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Holiday | M. Kuzminskas | K. Porzingis | C. Randle | S. Vujacic,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Drummond | T. Harris | S. Johnson | I. Smith | B. Udrih,DET,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Dedmon | B. Forbes | M. Ginobili | N. Laprovittola | J. Simmons,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Exum | D. Favors | R. Gobert | J. Ingles | S. Mack,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
S. Christon | J. Grant | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
I. Canaan | C. Felicio | N. Mirotic | B. Portis | D. Valentine,CHI,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Delaney | K. Humphries | P. Millsap | D. Schroder | T. Sefolosha,ATL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Afflalo | M. Barnes | W. Cauley-Stein | D. Cousins | T. Lawson,SAC,2016-17,3,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Augustin | B. Biyombo | E. Payton | T. Ross | N. Vucevic,ORL,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Antetokounmpo | M. Beasley | M. Dellavedova | T. Snell | J. Terry,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Ellis | C. Miles | G. Niang | J. Teague | M. Turner,IND,2016-17,3,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Green | M. Hezonja | S. Ibaka | E. Payton | C. Watson,ORL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Felton | B. Griffin | C. Paul | J. Redick | M. Speights,LAC,2016-17,1,0.0,0,1,NaN,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
B. Beal | M. Gortat | S. McClellan | D. Ochefu | J. Wall,WAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Burks | G. Hill | J. Ingles | J. Johnson | R. Neto,UTA,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
W. Barton | M. Beasley | J. Hernangomez | E. Mudiay | J. Murray,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Abrines | S. Adams | S. Christon | A. Morrow | D. Sabonis,OKC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
O. Casspi | T. Lawson | B. McLemore | G. Temple | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Anderson | R. Covington | G. Henderson | T. McConnell | N. Stauskas,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Daniels | D. Davis | T. Douglas | J. Green | Z. Randolph,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Brooks | R. Christmas | M. Ellis | G. Niang | G. Robinson,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Barbosa | D. Bender | E. Bledsoe | D. Booker | M. Chriss,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Bogdanovic | T. Booker | S. Dinwiddie | J. Harris | I. Whitehead,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
W. Chandler | D. Gallinari | A. Gee | E. Mudiay | J. Nelson,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Maker | G. Monroe | M. Teletovic | J. Terry | R. Vaughn,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Allen | R. Christmas | M. Ellis | G. Robinson | K. Seraphin,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Gibson | J. Grant | R. Lopez | D. McDermott | D. Wade,CHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Brown | J. Crowder | A. Horford | A. Johnson | K. Olynyk,BOS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Barbosa | M. Chriss | B. Knight | P. Tucker | A. Williams,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Arthur | D. Gallinari | N. Jokic | J. Murray | J. Nelson,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Anderson | N. Laprovittola | D. Lee | K. Leonard | P. Mills,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Allen | M. Conley | T. Daniels | D. Davis | Z. Randolph,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
E. Ilyasova | T. Luwawu-Cabarrot | J. Okafor | C. Randle | N. Stauskas,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Brussino | Y. Ferrell | D. Finney-Smith | D. Liggins | D. Powell,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
H. Barnes | A. Bogut | D. Finney-Smith | D. Harris | D. Powell,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Ellis | A. Jefferson | C. Miles | K. Seraphin | T. Young,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Afflalo | T. Evans | B. Hield | K. Koufos | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Beal | T. Burke | K. Oubre | O. Porter | M. Thornton,WAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Barnes | S. Labissiere | T. Lawson | G. Temple | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Black | J. Clarkson | T. Ennis | D. Russell | N. Young,LAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
F. Kaminsky | M. Kidd-Gilchrist | K. Walker | M. Williams | C. Zeller,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
E. Bledsoe | J. Dudley | T. Ulis | T. Warren | A. Williams,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Ariza | S. Dekker | E. Gordon | N. Hilario | L. Williams,HOU,2016-17,3,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Anderson | T. McConnell | D. Saric | T. Splitter | N. Stauskas,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Batum | S. Hawes | F. Kaminsky | B. Roberts | R. Sessions,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,+2,+2,.000,+2
J. Holiday | B. Jennings | M. Ndour | M. Plumlee | S. Vujacic,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Dragic | R. McGruder | D. Waiters | H. Whiteside | D. Williams,MIA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Calderon | J. Clarkson | B. Ingram | L. Nance Jr. | L. Williams,LAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Davis | J. Green | A. Harrison | J. Martin | T. Williams,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Bogdanovic | J. Hamilton | R. Hollis-Jefferson | S. Kilpatrick | C. LeVert,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Anderson | M. Ginobili | N. Laprovittola | D. Murray | J. Simmons,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Brussino | S. Curry | A. Hammons | S. Mejri | D. Powell,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
S. Adams | J. Lauvergne | V. Oladipo | D. Sabonis | R. Westbrook,OKC,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
D. Favors | R. Gobert | G. Hill | J. Johnson | S. Mack,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Bertans | B. Forbes | P. Gasol | K. Leonard | P. Mills,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Antetokounmpo | M. Beasley | M. Brogdon | T. Maker | T. Snell,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Carroll | S. Ibaka | J. Poeltl | N. Powell | D. Wright,TOR,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Aminu | P. Connaughton | D. Lillard | C. McCollum | J. Nurkic,POR,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Irving | K. Korver | D. Liggins | T. Thompson | D. Williams,CLE,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Crowder | A. Horford | A. Johnson | K. Olynyk | M. Smart,BOS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Anderson | R. Felton | C. Paul | J. Redick | A. Rivers,LAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
C. Aldrich | N. Bjelica | G. Dieng | R. Rubio | A. Wiggins,MIN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Diaw | D. Favors | G. Hayward | R. Hood | R. Neto,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Burks | R. Gobert | G. Hayward | R. Hood | R. Neto,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Barnes | R. Gay | T. Lawson | B. McLemore | G. Temple,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Baker | J. Holiday | B. Jennings | C. Lee | D. Rose,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Foye | A. Goodwin | J. Hamilton | K. McDaniels | I. Whitehead,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Beasley | M. Brogdon | T. Maker | J. Parker | M. Plumlee,MIL,2016-17,1,0.0,1,0,720.0,0,0,.000,0,0,.000,.000,+1,+2,.000,+1
W. Barton | G. Harris | J. Murray | J. Nelson | J. Nurkic,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Ariza | B. Brown | J. Harden | M. Harrell | L. Williams,HOU,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Belinelli | B. Roberts | K. Walker | M. Williams | C. Wood,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Batum | T. Graham | F. Kaminsky | B. Roberts | K. Walker,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Holiday | B. Jennings | C. Lee | M. Ndour | M. Plumlee,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Caboclo | J. Poeltl | P. Siakam | F. VanVleet | D. Wright,TOR,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
P. George | C. Miles | K. Seraphin | L. Stephenson | M. Turner,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Barbosa | D. Booker | B. Knight | P. Tucker | T. Warren,PHO,2016-17,3,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
Q. Acy | S. Dinwiddie | J. Hamilton | J. Lin | K. McDaniels,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Covington | R. Holmes | E. Ilyasova | T. McConnell | S. Rodriguez,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Arthur | W. Chandler | A. Gee | N. Jokic | E. Mudiay,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Baynes | A. Drummond | T. Harris | R. Jackson | I. Smith,DET,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Caldwell-Pope | S. Johnson | J. Leuer | M. Morris | B. Udrih,DET,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
N. Brussino | Q. Cook | S. Curry | D. Nowitzki | D. Powell,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Crabbe | M. Leonard | D. Lillard | J. Nurkic | E. Turner,POR,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
I. Clark | K. Durant | D. Green | K. Thompson | D. West,GSW,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Irving | R. Jefferson | I. Shumpert | D. Williams | D. Williams,CLE,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Green | S. Livingston | Z. Pachulia | K. Thompson | D. West,GSW,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. DeRozan | S. Ibaka | P. Patterson | P. Tucker | F. VanVleet,TOR,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
H. Barnes | D. Harris | W. Matthews | D. Nowitzki | D. Powell,DAL,2016-17,1,0.0,0,1,NaN,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
A. Afflalo | D. Collison | T. Evans | B. McLemore | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Biyombo | A. Gordon | M. Hezonja | E. Payton | N. Vucevic,ORL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Barnes | S. Curry | S. Livingston | J. McAdoo | P. McCaw,GSW,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Baker | W. Hernangomez | M. Kuzminskas | M. Ndour | S. Vujacic,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Collison | B. Hield | S. Labissiere | G. Temple | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Black | J. Calderon | L. Nance Jr. | L. Williams | N. Young,LAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Beasley | M. Brogdon | S. Hawes | T. Maker | R. Vaughn,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Anderson | A. Bogut | S. Curry | S. Mejri | D. Williams,DAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
W. Barton | G. Harris | J. Hernangomez | M. Miller | J. Nelson,DEN,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Belinelli | J. Lamb | J. O'Bryant | K. Walker | C. Zeller,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
P. George | A. Jefferson | C. Miles | J. Teague | M. Turner,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Barbosa | D. Booker | J. Dudley | D. Jones | T. Ulis,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
Q. Acy | S. Dinwiddie | R. Foye | C. LeVert | J. Lin,BRK,2016-17,1,0.0,0,0,0.0,0,0,.000,0,0,.000,.000,0,-1,.000,0
R. Covington | G. Henderson | T. McConnell | J. Okafor | N. Stauskas,PHI,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Bender | D. Booker | T. Chandler | B. Knight | P. Tucker,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Huertas | L. Nance Jr. | D. Russell | L. Williams | N. Young,LAL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Brown | J. Mickey | T. Rozier | I. Thomas | T. Zeller,BOS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Bazemore | M. Delaney | K. Humphries | D. Schroder | T. Sefolosha,ATL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Allen | M. Gasol | A. Harrison | Z. Randolph | B. Wright,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Irving | R. Jefferson | D. Liggins | I. Shumpert | J. Smith,CLE,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Green | A. Iguodala | S. Livingston | P. McCaw | J. McGee,GSW,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Antetokounmpo | M. Dellavedova | S. Hawes | T. Snell | M. Teletovic,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Harkless | J. Layman | M. Leonard | S. Napier | E. Turner,POR,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Cunningham | T. Frazier | S. Hill | J. Holiday | E. Moore,NOP,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Baker | W. Hernangomez | J. Holiday | K. Porzingis | D. Rose,NYK,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Collison | L. Galloway | S. Labissiere | G. Temple | A. Tolliver,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Henderson | E. Ilyasova | J. Okafor | D. Saric | N. Stauskas,PHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
S. Dinwiddie | R. Foye | C. LeVert | J. Lin | B. Lopez,BRK,2016-17,2,0.0,0,1,720.0,0,0,.000,0,0,.000,.000,+1,0,+1.000,+1
S. Curry | D. Green | K. Looney | Z. Pachulia | K. Thompson,GSW,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Brogdon | S. Hawes | K. Middleton | T. Snell | M. Teletovic,MIL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Abrines | S. Christon | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
E. Bledsoe | D. Booker | B. Knight | T. Warren | A. Williams,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Ariza | P. Beverley | E. Gordon | J. Harden | C. Onuaku,HOU,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Belinelli | M. Kidd-Gilchrist | J. Lamb | B. Roberts | K. Walker,CHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Lopez | D. McDermott | B. Portis | R. Rondo | D. Wade,CHI,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
L. Allen | A. Brooks | M. Ellis | A. Jefferson | J. Teague,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
G. Hill | J. Ingles | J. Johnson | T. Lyles | J. Withey,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Davis | T. Frazier | J. Holiday | T. Jones | D. Motiejunas,NOP,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Brooks | K. Seraphin | J. Teague | M. Turner | T. Young,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
Q. Acy | T. Booker | J. Lin | A. Nicholson | I. Whitehead,BRK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Baynes | K. Caldwell-Pope | A. Drummond | M. Morris | I. Smith,DET,2016-17,3,0.0,0,1,1440.0,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
T. Allen | V. Carter | M. Conley | J. Ennis | A. Harrison,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Gordon | M. Hezonja | J. Meeks | E. Payton | T. Ross,ORL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Delaney | M. Dunleavy | M. Muscala | D. Schroder | M. Scott,ATL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
D. Augustin | B. Biyombo | E. Fournier | M. Hezonja | E. Payton,ORL,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
I. Clark | S. Curry | A. Iguodala | P. McCaw | D. West,GSW,2016-17,2,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
R. Anderson | C. Brewer | S. Dekker | E. Gordon | M. Harrell,HOU,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
K. Irving | R. Jefferson | J. Jones | I. Shumpert | J. Smith,CLE,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
B. Jennings | M. Kuzminskas | J. Noah | D. Rose | S. Vujacic,NYK,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
T. Hardaway | R. Kelly | M. Muscala | T. Waller-Prince | D. Schroder,ATL,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Burks | D. Exum | R. Gobert | G. Hill | J. Johnson,UTA,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
M. Barnes | D. Cousins | T. Lawson | M. Richardson | G. Temple,SAC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
J. Anderson | H. Barnes | D. Finney-Smith | J. Gibson | W. Matthews,DAL,2016-17,1,0.0,0,0,0.0,0,0,.000,0,0,.000,.000,-1,-1,.000,-1
J. Butler | M. Carter-Williams | J. Lauvergne | N. Mirotic | A. Morrow,CHI,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
W. Baldwin | T. Daniels | D. Davis | T. Douglas | J. Green,MEM,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Abrines | S. Christon | E. Kanter | J. Lauvergne | R. Westbrook,OKC,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
E. Bledsoe | D. Booker | J. Dudley | A. Len | T. Ulis,PHO,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
P. Gasol | D. Green | D. Lee | K. Leonard | J. Simmons,SAS,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
A. Brooks | A. Jefferson | R. Stuckey | J. Teague | T. Young,IND,2016-17,1,0.0,0,0,NaN,0,0,.000,0,0,.000,.000,0,0,.000,0
