Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS
E. Bledsoe | D. Booker | T. Chandler | J. Dudley | T. Warren,PHO,2016-17,7,114.7,243,234,99.8,+10,+13,+.019,-7,-6,-.081,-0.002,-11,-6,-.093,+2
R. Covington | J. Embiid | E. Ilyasova | T. McConnell | N. Stauskas,PHI,2016-17,14,114.5,226,223,94.1,+12,+10,+.038,+12,+19,+.084,+.065,+1,+4,-.074,+37
A. Afflalo | D. Collison | D. Cousins | K. Koufos | G. Temple,SAC,2016-17,11,113.4,203,209,87.2,0,-7,+.019,-5,-16,+.026,+.008,-3,+2,-.093,-8
A. Gordon | S. Ibaka | E. Payton | N. Vucevic | C. Watson,ORL,2016-17,11,112.0,234,232,99.9,-5,+4,-.033,-16,-18,-.175,-0.072,-6,-5,-.049,-32
K. Caldwell-Pope | A. Drummond | T. Harris | J. Leuer | I. Smith,DET,2016-17,35,110.6,220,214,94.2,+8,+3,+.033,-10,-15,-.088,+.007,-12,-2,-.199,-6
T. Allen | M. Gasol | J. Green | A. Harrison | T. Williams,MEM,2016-17,12,110.3,214,208,91.8,+1,+6,-.008,-6,-12,-.038,-0.026,-8,-10,-.012,-12
C. Anthony | C. Lee | K. Porzingis | D. Rose | L. Thomas,NYK,2016-17,14,108.6,224,220,98.2,+5,-8,+.043,+2,-23,+.146,+.050,+8,+6,+.053,+20
C. Anthony | B. Jennings | C. Lee | J. Noah | K. Porzingis,NYK,2016-17,14,108.5,219,214,95.7,-7,+3,-.042,+4,+11,-.006,-0.033,-3,+1,-.084,-13
D. Carroll | D. DeRozan | K. Lowry | L. Nogueira | J. Valanciunas,TOR,2016-17,13,107.8,210,219,95.5,+13,+10,+.045,-8,-7,-.108,+.021,+7,+4,+.070,+25
J. Clarkson | B. Ingram | L. Nance Jr. | J. Randle | D. Russell,LAL,2016-17,23,107.7,214,217,96.1,-17,+16,-.132,-3,+16,-.159,-0.143,-23,-20,-.181,-60
A. Crabbe | M. Harkless | D. Lillard | C. McCollum | M. Plumlee,POR,2016-17,23,107.2,222,223,99.6,+19,+6,+.086,+8,+10,+.073,+.106,-20,-26,+.007,+26
D. Cunningham | A. Davis | S. Hill | J. Holiday | E. Moore,NOP,2016-17,30,107.0,218,230,100.5,+4,-7,+.037,-7,-21,-.010,+.021,+7,+8,+.014,+8
N. Batum | M. Belinelli | K. Walker | M. Williams | C. Zeller,CHO,2016-17,33,105.8,217,213,97.5,+3,+40,-.082,+12,+34,+.018,-0.062,+3,+5,-.012,+21
M. Ellis | G. Robinson | J. Teague | M. Turner | T. Young,IND,2016-17,13,105.7,216,215,97.9,+5,-26,+.090,-4,-30,+.109,+.086,+21,+22,+.078,+27
G. Dragic | W. Ellington | J. Johnson | T. Johnson | W. Reed,MIA,2016-17,27,105.6,215,217,98.2,+1,-13,+.036,+4,+9,+.019,+.050,0,+11,-.175,+6
B. Biyombo | E. Fournier | A. Gordon | E. Payton | T. Ross,ORL,2016-17,11,105.0,205,199,92.3,+11,+13,+.026,-3,+9,-.118,+.014,0,+14,-.226,+19
C. Frye | K. Irving | L. James | I. Shumpert | T. Thompson,CLE,2016-17,17,104.4,200,204,92.9,+3,+4,+.005,+19,+48,-.026,+.053,-6,-6,-.042,+19
A. Abrines | S. Adams | A. Roberson | D. Sabonis | R. Westbrook,OKC,2016-17,31,104.2,209,210,96.5,+2,+14,-.022,+7,+9,+.050,-0.009,-4,-9,+.056,+7
T. Ariza | P. Beverley | C. Capela | E. Gordon | J. Harden,HOU,2016-17,22,104.0,207,208,95.8,+6,+7,+.014,+1,+13,-.050,+.013,+10,+10,+.040,+23
J. Crowder | A. Horford | K. Olynyk | M. Smart | I. Thomas,BOS,2016-17,28,103.4,215,213,99.4,-13,+1,-.075,+12,+33,-.011,-0.042,-13,-23,+.092,-27
L. Allen | P. George | C. Miles | J. Teague | M. Turner,IND,2016-17,21,103.1,205,204,95.2,-2,-1,-.009,-1,+3,-.035,-0.011,+3,-2,+.100,-2
R. Covington | J. Embiid | G. Henderson | E. Ilyasova | S. Rodriguez,PHI,2016-17,14,102.4,211,207,98.0,+4,-3,+.029,+2,+1,+.025,+.035,0,+2,-.042,+10
B. Beal | M. Gortat | M. Morris | K. Oubre | J. Wall,WAS,2016-17,39,102.4,213,212,99.6,+10,-2,+.059,0,0,.000,+.059,-12,-12,-.060,+8
D. Green | A. Iguodala | S. Livingston | K. Thompson | D. West,GSW,2016-17,19,102.2,188,196,90.2,+6,-17,+.077,-2,-9,+.012,+.075,-1,+6,-.160,+9
W. Ellington | J. Johnson | T. Johnson | W. Reed | J. Richardson,MIA,2016-17,20,102.2,198,206,94.8,+3,+9,-.005,+2,+30,-.148,-0.002,-13,-6,-.163,-5
J. Crawford | R. Felton | P. Pierce | A. Rivers | M. Speights,LAC,2016-17,12,101.5,194,198,92.7,+5,-9,+.053,+6,+15,+.021,+.074,-13,-19,+.023,+3
M. Ellis | P. George | C. Miles | J. Teague | M. Turner,IND,2016-17,38,100.7,211,200,98.0,+12,+34,-.029,+2,+20,-.107,-0.041,+3,+4,-.003,+29
