Player,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PProd,OWS,DWS,WS,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,FG/40,FGA/40,2P/40,2PA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,TS%,FTr,3PAr,FG%,2P%,3P%,FT%,eFG%
Elias Harris,135,3785,666,1289,588,1070,78,219,447,618,270,709,979,177,123,72,242,290.0,1857.0,1747.0,12.4,7.8,20.2,24.1759313078,9.0221664465,21.7352708058,15.6379392338,9.72800528402,1.91186261559,2.07791281374,13.3187846764,24.5720739762,117.22340819,93.1661030383,2.65381770145,2.3384676354,4.96892998679,7.03830911493,13.6221928666,6.21400264201,11.3077939234,0.824306472919,2.3143989432,4.72391017173,6.53104359313,2.85336856011,7.4927344782,10.3461030383,1.87054161162,1.2998678996,0.760898282695,2.55746367239,3.06472919419,19.6248348745,59.4841503729,0.479441427463,0.169899146625,0.516679596587,0.54953271028,0.356164383562,0.723300970874,0.546935608999
Elijah Millsap,34,1124,182,418,163,339,19,79,164,236,92,232,324,60,56,11,118,111.0,547.0,531.0,1.7,3.0,4.7,21.6,9.5,24.5,16.9,13.5,3.1,1.1,18.2,29.8,100.1,87.0,0.0,0.0,0.0,6.4768683274,14.8754448399,5.80071174377,12.0640569395,0.67615658363,2.81138790036,5.83629893238,8.39857651246,3.27402135231,8.25622775801,11.5302491103,2.13523131673,1.99288256228,0.391459074733,4.19928825623,3.95017793594,19.4661921708,52.4107005979,0.564593301435,0.188995215311,0.435406698565,0.480825958702,0.240506329114,0.694915254237,0.458133971292
Elliot Williams,34,1133,178,388,118,224,60,164,194,256,25,110,135,128,45,4,100,69.0,610.0,598.0,4.1,1.5,5.6,23.6,2.7,11.3,7.1,24.0,2.4,0.4,16.4,27.7,116.7,101.2,0.0,0.0,0.0,6.28420123566,13.6981465137,4.16593115622,7.90820829656,2.11827007944,5.78993821712,6.84907325684,9.03795233892,0.882612533098,3.88349514563,4.76610767873,4.51897616946,1.58870255958,0.141218005296,3.53045013239,2.43601059135,21.5357458076,60.9220198146,0.659793814433,0.422680412371,0.458762886598,0.526785714286,0.365853658537,0.7578125,0.536082474227
Eric Bledsoe,37,1122,144,312,95,184,49,128,82,123,19,95,114,107,52,12,112,82.0,419.0,405.0,1.5,2.1,3.5,14.5,1.9,8.5,5.5,16.8,2.6,1.1,23.2,20.4,102.6,95.7,0.0,0.0,0.0,5.13368983957,11.1229946524,3.38680926916,6.55971479501,1.74688057041,4.5632798574,2.92335115865,4.38502673797,0.677361853832,3.38680926916,4.06417112299,3.81461675579,1.85383244207,0.427807486631,3.99286987522,2.92335115865,14.9376114082,57.2216759532,0.394230769231,0.410256410256,0.461538461538,0.516304347826,0.3828125,0.666666666667,0.540064102564
Eric Moreland,89,2227,238,445,230,421,8,24,156,294,211,551,762,116,70,184,161,211.0,640.0,697.0,2.7,4.1,6.7,23.088908846,19.5720251459,23.2217332735,21.8303098339,11.5953749439,4.23129770992,15.4792546026,14.4019308487,17.4843286933,98.2593623709,91.6209699147,0.5439155815,11.7099685676,12.2212842389,4.27480916031,7.99281544679,4.13111809609,7.56174225415,0.143691064212,0.431073192636,2.80197575213,5.28064660979,3.78985181859,9.8967220476,13.6865738662,2.08352043107,1.25729681185,3.30489447687,2.89178266727,3.78985181859,11.495285137,55.7141862247,0.660674157303,0.0539325842697,0.534831460674,0.546318289786,0.333333333333,0.530612244898,0.543820224719
Erick Green,129,3648,592,1356,452,942,140,414,418,520,59,273,332,326,156,26,178,208.0,1742.0,1666.0,11.4,4.1,15.5,19.1969024123,1.89753289474,8.30150767544,5.05537280702,19.7677905702,2.63643092105,1.00257675439,11.7539747807,23.5864309211,107.754523026,101.774314693,4.9345120614,0.296628289474,5.23114035088,6.49122807018,14.8684210526,4.95614035088,10.3289473684,1.5350877193,4.53947368421,4.58333333333,5.70175438596,0.646929824561,2.99342105263,3.64035087719,3.57456140351,1.71052631579,0.285087719298,1.95175438596,2.28070175439,19.100877193,54.9596163554,0.383480825959,0.305309734513,0.436578171091,0.47983014862,0.338164251208,0.803846153846,0.488200589971
Erik Murphy,136,2488,397,773,254,444,143,329,115,152,160,347,507,95,58,85,139,297.0,1052.0,939.0,7.4,4.7,12.1,21.5377411576,9.26386655949,17.765192926,13.5051446945,7.63902733119,1.71840836013,3.37367363344,15.0924839228,20.7434485531,118.229059486,93.3020096463,3.90980707395,2.34067524116,6.27676848875,6.38263665595,12.4276527331,4.08360128617,7.13826366559,2.29903536977,5.28938906752,1.84887459807,2.44372990354,2.57234726688,5.57877813505,8.15112540193,1.52733118971,0.932475884244,1.36655948553,2.2347266881,4.77491961415,16.9131832797,62.6279944754,0.196636481242,0.425614489004,0.513583441138,0.572072072072,0.434650455927,0.756578947368,0.606080206986
Evan Turner,31,1108,237,457,217,402,20,55,138,183,62,222,284,185,54,28,136,86.0,632.0,682.0,4.0,2.8,6.8,30.0,7.3,23.5,15.9,37.5,3.0,2.9,20.0,33.1,111.2,88.5,0.0,0.0,0.0,8.5559566787,16.4981949458,7.83393501805,14.5126353791,0.72202166065,1.98555956679,4.98194945848,6.60649819495,2.23826714801,8.01444043321,10.2527075812,6.67870036101,1.94945848375,1.01083032491,4.90974729242,3.10469314079,22.8158844765,58.788510195,0.400437636761,0.120350109409,0.518599562363,0.539800995025,0.363636363636,0.754098360656,0.540481400438
Fab Melo,63,1090,132,229,132,229,0,0,47,85,102,137,239,29,25,113,68,145.0,311.0,311.0,1.6,2.1,3.7,14.61,9.36,13.97,11.82,4.58,1.69,10.06,24.11,15.1,98.41,94.34,-0.56,7.04,6.51,4.84403669725,8.40366972477,4.84403669725,8.40366972477,0.0,0.0,1.7247706422,3.11926605505,3.74311926606,5.02752293578,8.77064220183,1.06422018349,0.917431192661,4.14678899083,2.49541284404,5.32110091743,11.4128440367,58.3708708709,0.371179039301,0.0,0.576419213974,0.576419213974,0.0,0.552941176471,0.576419213974
Festus Ezeli,92,1808,289,512,289,512,0,0,246,414,187,282,469,17,37,183,152,256.0,824.0,780.0,4.0,3.4,7.4,21.9998340708,12.3730088496,17.2755530973,14.9576880531,1.91360619469,1.17671460177,10.1514933628,18.3039269912,23.6725110619,105.126161504,94.7700774336,1.08019911504,2.77748893805,3.8576880531,6.39380530973,11.3274336283,6.39380530973,11.3274336283,0.0,0.0,5.44247787611,9.1592920354,4.13716814159,6.2389380531,10.3761061947,0.37610619469,0.818584070796,4.04867256637,3.36283185841,5.66371681416,18.2300884956,59.3523107065,0.80859375,0.0,0.564453125,0.564453125,0.0,0.594202898551,0.564453125
