Player,Tm,FG%,2P%,3P%,FT%,eFG%,FG/36,FGA/36,2P/36,2PA/36,3P/36,3PA/36,FT/36,FTA/36,ORB/36,DRB/36,TRB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,PTS/36,TS%,3PAr,FTr
Nemanja Bjelica,MIN,0.424157303,0.530726257,0.316384181,0.737704918,0.502808989,4.568067227,10.7697479,2.87394958,5.41512605,1.694117647,5.354621849,1.361344538,1.845378151,1.724369748,5.657142857,7.381512605,2.389915966,1.210084034,0.605042017,1.78487395,4.658823529,12.19159664,52.63295371,0.497191011,0.171348315
Tarik Black,LAL,0.510204082,0.510273973,0.5,0.752293578,0.511904762,4.949587534,9.701191567,4.916590284,9.635197067,0.03299725,0.0659945,2.705774519,3.596700275,4.718606783,6.566452796,11.28505958,1.286892759,0.989917507,1.45187901,1.913840513,5.70852429,12.63794684,56.00070184,0.006802721,0.370748299
Eric Bledsoe,PHO,0.434235977,0.476519337,0.335483871,0.847161572,0.484526112,7.428308824,17.10661765,5.707720588,11.97794118,1.720588235,5.128676471,6.419117647,7.577205882,0.860294118,4.433823529,5.294117647,6.915441176,1.522058824,0.512867647,3.689338235,2.713235294,22.99632353,56.25161875,0.299806576,0.442940039
Bojan Bogdanovic,TOT,0.444970414,0.51214128,0.367346939,0.893004115,0.530177515,6.498319731,14.60393663,4.009601536,7.829092655,2.488718195,6.774843975,3.750360058,4.199711954,0.639462314,4.147863658,4.787325972,1.918386942,0.587614018,0.120979357,2.246759482,2.523283725,19.23571771,58.46079502,0.463905325,0.287573964
Andrew Bogut,TOT,0.469135802,0.475,0,0.272727273,0.469135802,2.346483705,5.001715266,2.346483705,4.939965695,0,0.061749571,0.185248714,0.679245283,3.457975986,10.00343053,13.46140652,3.025728988,0.802744425,1.54373928,2.655231561,5.310463122,4.878216124,46.01584343,0.012345679,0.135802469
Joel Bolomboy,UTA,0.5625,0.666666667,0.25,0.5,0.59375,6.113207547,10.86792453,5.433962264,8.150943396,0.679245283,2.716981132,2.037735849,4.075471698,2.716981132,8.830188679,11.54716981,1.358490566,0.679245283,1.358490566,1.358490566,0.679245283,14.94339623,59.01287554,0.25,0.375
Devin Booker,PHO,0.423480084,0.447368421,0.362962963,0.832199546,0.474842767,7.991208791,18.87032967,6.052747253,13.52967033,1.938461538,5.340659341,4.83956044,5.815384615,0.606593407,2.676923077,3.283516484,3.534065934,0.949450549,0.276923077,3.178021978,3.191208791,22.76043956,53.10638507,0.283018868,0.308176101
Trevor Booker,BRK,0.51607445,0.545808967,0.320512821,0.672727273,0.537225042,6.259977195,12.1299886,5.74686431,10.5290764,0.513112885,1.600912201,1.518814139,2.257696693,2.914481186,8.784492588,11.69897377,2.832383124,1.55986317,0.574686431,2.606613455,3.11972634,14.55188141,55.44260244,0.131979695,0.186125212
Avery Bradley,BOS,0.463225806,0.504016064,0.389891697,0.731182796,0.532903226,7.043051771,15.20435967,4.924250681,9.770027248,2.11880109,5.434332425,1.334059946,1.824523161,1.27520436,5.277384196,6.552588556,2.373841962,1.334059946,0.215803815,1.726430518,2.766212534,17.53896458,54.78478282,0.357419355,0.12
Corey Brewer,TOT,0.422413793,0.52173913,0.228813559,0.735294118,0.461206897,4.131147541,9.779859485,3.37236534,6.463700234,0.758782201,3.316159251,1.405152225,1.911007026,0.899297424,3.765807963,4.665105386,2.725995316,1.714285714,0.533957845,1.545667447,3.737704918,10.42622951,49.08446232,0.33908046,0.195402299
Malcolm Brogdon,MIL,0.456692913,0.479638009,0.404145078,0.865079365,0.518110236,5.26740666,11.53380424,3.850655903,8.028254289,1.416750757,3.50554995,1.979818365,2.288597376,0.853683148,3.015136226,3.868819374,5.757820383,1.525731584,0.217961655,2.05247225,2.542885974,13.93138244,55.5442906,0.303937008,0.198425197
Aaron Brooks,IND,0.403333333,0.424418605,0.375,0.8,0.483333333,4.872483221,12.08053691,2.939597315,6.926174497,1.932885906,5.154362416,1.288590604,1.610738255,0.724832215,2.053691275,2.77852349,5.033557047,1.006711409,0.362416107,2.657718121,3.744966443,12.96644295,50.69269521,0.426666667,0.133333333
Anthony Brown,TOT,0.36,0.47826087,0.259259259,0,0.43,4.075471698,11.32075472,2.490566038,5.20754717,1.58490566,6.113207547,0,0,1.811320755,5.660377358,7.471698113,1.811320755,1.132075472,0.226415094,1.358490566,3.396226415,9.735849057,43,0.54,0
Bobby Brown,HOU,0.383333333,0.36,0.4,1,0.5,6.731707317,17.56097561,2.634146341,7.317073171,4.097560976,10.24390244,0.585365854,0.585365854,0,1.756097561,1.756097561,4.097560976,0.292682927,0,1.463414634,1.463414634,18.14634146,50.91984231,0.583333333,0.033333333
Jaylen Brown,BOS,0.453900709,0.506944444,0.340740741,0.685483871,0.508274232,5.154362416,11.3557047,3.919463087,7.731543624,1.234899329,3.624161074,2.281879195,3.32885906,1.208053691,4.697986577,5.906040268,1.718120805,0.939597315,0.483221477,1.825503356,3.812080537,13.82550336,53.91992629,0.319148936,0.293144208
Nicolas Brussino,DAL,0.368794326,0.5,0.305263158,0.772727273,0.471631206,3.593090211,9.742802303,1.58925144,3.178502879,2.003838772,6.564299424,1.174664107,1.520153551,1.796545106,4.767754319,6.564299424,3.247600768,1.174664107,0.552783109,1.796545106,2.971209213,10.3646833,49.77435625,0.673758865,0.156028369
Reggie Bullock,DET,0.421875,0.472727273,0.383561644,0.714285714,0.53125,4.162740899,9.867237687,2.004282655,4.239828694,2.158458244,5.627408994,0.385438972,0.539614561,1.002141328,3.931477516,4.933618844,2.235546039,1.3875803,0.231263383,0.770877944,1.695931478,10.86937902,53.78394873,0.5703125,0.0546875
Trey Burke,WAS,0.454901961,0.459459459,0.442857143,0.75862069,0.515686275,5.940256046,13.05832148,4.352773826,9.473684211,1.587482219,3.584637269,1.126600285,1.485064011,0.358463727,2.048364154,2.406827881,5.120910384,0.563300142,0.256045519,2.458036984,2.765291607,14.59459459,53.21930087,0.274509804,0.11372549
Alec Burks,UTA,0.399193548,0.430232558,0.328947368,0.769230769,0.449596774,5.457886677,13.67228178,4.079632466,9.482388974,1.378254211,4.189892802,3.307810107,4.300153139,0.937212864,5.678407351,6.615620214,1.653905054,0.992343032,0.275650842,1.929555896,2.756508423,15.60183767,50.12043072,0.306451613,0.314516129
Jimmy Butler,CHI,0.455271565,0.477091633,0.366935484,0.865384615,0.491613419,7.30509078,16.04556782,6.138839445,12.86721253,1.166251335,3.178355287,7.497330011,8.663581346,1.653257387,4.370238519,6.023495906,5.344250623,1.832680669,0.41011036,2.037735849,1.435386258,23.2737629,58.60181743,0.198083067,0.539936102
Bruno Caboclo,TOR,0.375,0.4,0.333333333,0,0.4375,5.4,14.4,3.6,9,1.8,5.4,0,0,4.5,4.5,9,3.6,1.8,0.9,1.8,3.6,12.6,43.75,0.375,0
Jose Calderon,TOT,0.410447761,0.5,0.3125,0.916666667,0.485074627,3.673469388,8.949907236,2.337662338,4.675324675,1.33580705,4.27458256,0.734693878,0.80148423,1.001855288,3.940630798,4.942486085,5.87755102,0.734693878,0.066790353,2.738404453,2.40445269,9.417439703,50.61746123,0.47761194,0.089552239
Kentavious Caldwell-Pope,DET,0.398706897,0.441955193,0.350114416,0.832432432,0.481142241,5.266903915,13.20996441,3.088967972,6.989323843,2.177935943,6.220640569,2.192170819,2.633451957,0.782918149,2.747330961,3.53024911,2.747330961,1.266903915,0.170818505,1.224199288,1.679715302,14.90391459,51.86249257,0.470905172,0.199353448
Isaiah Canaan,CHI,0.36416185,0.481012658,0.265957447,0.909090909,0.436416185,3.831081081,10.52027027,2.310810811,4.804054054,1.52027027,5.716216216,1.824324324,2.006756757,0.364864865,2.614864865,2.97972973,2.25,1.337837838,0.060810811,1.216216216,2.128378378,11.00675676,48.26151877,0.543352601,0.190751445
Clint Capela,HOU,0.642984014,0.642984014,0,0.531073446,0.642984014,8.402321083,13.06769826,8.402321083,13.06769826,0,0,2.181818182,4.108317215,4.131528046,8.077369439,12.20889749,1.48549323,0.789168279,1.856866538,2.01934236,4.154738878,18.98646035,63.81849956,0,0.314387211
DeMarre Carroll,TOR,0.400728597,0.484716157,0.340625,0.760683761,0.5,4.208289054,10.50159405,2.123273114,4.380446334,2.08501594,6.121147715,1.702444208,2.238044633,1.205100956,4.055260361,5.260361318,1.415515409,1.549415515,0.516471838,1.032943677,2.735387885,12.20403826,53.12416733,0.58287796,0.213114754
Vince Carter,MEM,0.393877551,0.417525773,0.378378378,0.765217391,0.508163265,3.862145636,9.805447471,1.6209005,3.882156754,2.241245136,5.923290717,1.760978321,2.301278488,0.720400222,3.822123402,4.542523624,2.661478599,1.200667037,0.720400222,1.000555864,3.261812118,11.72651473,54.19903811,0.604081633,0.234693878
Michael Carter-Williams,CHI,0.366013072,0.400826446,0.234375,0.753246753,0.390522876,4.765957447,13.0212766,4.127659574,10.29787234,0.638297872,2.723404255,2.468085106,3.276595745,1.021276596,5.446808511,6.468085106,4.808510638,1.617021277,0.978723404,2.808510638,4.340425532,12.63829787,43.69189126,0.209150327,0.251633987
Omri Casspi,TOT,0.466666667,0.508196721,0.348837209,0.586206897,0.512121212,4.311041991,9.237947123,3.471228616,6.830482115,0.839813375,2.407465008,0.951788491,1.623639191,1.511664075,4.758942457,6.270606532,2.071539658,1.287713841,0.167962675,1.623639191,2.799377916,10.41368585,52.31773177,0.260606061,0.175757576
Willie Cauley-Stein,SAC,0.53014553,0.532359081,0,0.668874172,0.53014553,6.460239268,12.18578466,6.460239268,12.13511612,0,0.050668543,2.558761436,3.825475018,2.153413089,6.460239268,8.613652357,2.026741731,1.342716397,1.140042224,1.748064743,3.724137931,15.47923997,55.8052024,0.004158004,0.313929314
Tyson Chandler,PHO,0.671052632,0.671052632,0,0.733870968,0.671052632,4.243451464,6.32357473,4.243451464,6.32357473,0,0,2.523882897,3.439137134,4.271186441,10.6779661,14.94915254,0.832049307,0.915254237,0.665639445,1.858243451,3.494607088,11.01078582,70.25056625,0,0.543859649
Wilson Chandler,DEN,0.46112886,0.526916803,0.337423313,0.726804124,0.51970181,7.095129722,15.38643605,5.292671825,10.04460628,1.802457897,5.341829768,2.310423305,3.178880291,1.687756031,5.833409194,7.521165225,2.310423305,0.852071006,0.491579426,1.868001821,2.818388712,18.30314065,54.52184779,0.347177849,0.206602769
Marquese Chriss,PHO,0.449367089,0.519607843,0.321428571,0.624309392,0.506329114,5.865748709,13.05335628,4.378657487,8.426850258,1.487091222,4.626506024,2.333907057,3.7383821,1.982788296,5.204819277,7.187607573,1.239242685,1.383820998,1.445783133,2.230636833,5.432013769,15.5524957,52.90596369,0.35443038,0.286392405
Rakeem Christmas,IND,0.441860465,0.441860465,0,0.724137931,0.441860465,3.123287671,7.068493151,3.123287671,7.068493151,0,0,3.452054795,4.767123288,4.273972603,4.931506849,9.205479452,0.657534247,0.493150685,0.98630137,1.315068493,6.082191781,9.698630137,52.90530846,0,0.674418605
Semaj Christon,OKC,0.34529148,0.40625,0.19047619,0.548387097,0.372197309,2.848920863,8.250770812,2.404933196,5.91983556,0.443987667,2.330935252,0.628982528,1.14696814,0.702980473,2.552929085,3.255909558,4.809866393,1.035971223,0.221993834,1.590955807,2.922918808,6.770811922,38.6663286,0.282511211,0.139013453
